signup_cohort,acquisition_channel,months_since_signup,retention_pct,n_customers
2024-12,Inbound Marketing,1,1.0,5
2025-01,Inbound Marketing,1,1.0,5
2025-02,Inbound Marketing,1,1.0,1
2025-03,Inbound Marketing,1,0.875,8
2025-04,Inbound Marketing,1,1.0,8
2025-05,Inbound Marketing,1,1.0,4
2025-06,Inbound Marketing,1,1.0,3
2025-07,Inbound Marketing,1,1.0,4
2025-08,Inbound Marketing,1,1.0,4
2025-09,Inbound Marketing,1,1.0,5
2025-10,Inbound Marketing,1,1.0,7
2025-11,Inbound Marketing,1,1.0,7
2023-01,Inbound Marketing,2,1.0,8
2023-02,Inbound Marketing,2,1.0,4
2023-03,Inbound Marketing,2,1.0,7
2023-04,Inbound Marketing,2,1.0,5
2023-05,Inbound Marketing,2,1.0,5
2023-06,Inbound Marketing,2,1.0,8
2023-07,Inbound Marketing,2,1.0,8
2023-08,Inbound Marketing,2,0.8333333333333334,6
2023-09,Inbound Marketing,2,1.0,5
2023-10,Inbound Marketing,2,0.75,4
2023-11,Inbound Marketing,2,1.0,7
2023-12,Inbound Marketing,2,1.0,10
2024-01,Inbound Marketing,2,1.0,6
2024-02,Inbound Marketing,2,1.0,4
2024-03,Inbound Marketing,2,1.0,7
2024-04,Inbound Marketing,2,1.0,3
2024-05,Inbound Marketing,2,1.0,4
2024-06,Inbound Marketing,2,1.0,6
2024-07,Inbound Marketing,2,0.8181818181818182,11
2024-08,Inbound Marketing,2,1.0,3
2024-09,Inbound Marketing,2,1.0,4
2024-10,Inbound Marketing,2,1.0,6
2024-11,Inbound Marketing,2,1.0,9
2024-12,Inbound Marketing,2,1.0,5
2025-01,Inbound Marketing,2,1.0,5
2025-02,Inbound Marketing,2,1.0,1
2025-03,Inbound Marketing,2,0.875,8
2025-04,Inbound Marketing,2,1.0,8
2025-05,Inbound Marketing,2,1.0,4
2025-06,Inbound Marketing,2,1.0,3
2025-07,Inbound Marketing,2,1.0,4
2025-08,Inbound Marketing,2,1.0,4
2025-09,Inbound Marketing,2,1.0,5
2025-10,Inbound Marketing,2,1.0,7
2023-01,Inbound Marketing,3,1.0,8
2023-02,Inbound Marketing,3,1.0,4
2023-03,Inbound Marketing,3,1.0,7
2023-04,Inbound Marketing,3,1.0,5
2023-05,Inbound Marketing,3,1.0,5
2023-06,Inbound Marketing,3,1.0,8
2023-07,Inbound Marketing,3,1.0,8
2023-08,Inbound Marketing,3,0.8333333333333334,6
2023-09,Inbound Marketing,3,1.0,5
2023-10,Inbound Marketing,3,0.75,4
2023-11,Inbound Marketing,3,1.0,7
2023-12,Inbound Marketing,3,1.0,10
2024-01,Inbound Marketing,3,1.0,6
2024-02,Inbound Marketing,3,1.0,4
2024-03,Inbound Marketing,3,0.8571428571428571,7
2024-04,Inbound Marketing,3,1.0,3
2024-05,Inbound Marketing,3,1.0,4
2024-06,Inbound Marketing,3,1.0,6
2024-07,Inbound Marketing,3,0.8181818181818182,11
2024-08,Inbound Marketing,3,1.0,3
2024-09,Inbound Marketing,3,1.0,4
2024-10,Inbound Marketing,3,1.0,6
2024-11,Inbound Marketing,3,1.0,9
2024-12,Inbound Marketing,3,1.0,5
2025-01,Inbound Marketing,3,1.0,5
2025-02,Inbound Marketing,3,1.0,1
2025-03,Inbound Marketing,3,0.875,8
2025-04,Inbound Marketing,3,1.0,8
2025-05,Inbound Marketing,3,1.0,4
2025-06,Inbound Marketing,3,1.0,3
2025-07,Inbound Marketing,3,1.0,4
2025-08,Inbound Marketing,3,1.0,4
2025-09,Inbound Marketing,3,1.0,5
2023-01,Inbound Marketing,4,0.875,8
2023-02,Inbound Marketing,4,1.0,4
2023-03,Inbound Marketing,4,1.0,7
2023-04,Inbound Marketing,4,1.0,5
2023-05,Inbound Marketing,4,1.0,5
2023-06,Inbound Marketing,4,1.0,8
2023-07,Inbound Marketing,4,1.0,8
2023-08,Inbound Marketing,4,0.8333333333333334,6
2023-09,Inbound Marketing,4,1.0,5
2023-10,Inbound Marketing,4,0.75,4
2023-11,Inbound Marketing,4,1.0,7
2023-12,Inbound Marketing,4,0.9,10
2024-01,Inbound Marketing,4,1.0,6
2024-02,Inbound Marketing,4,1.0,4
2024-03,Inbound Marketing,4,0.8571428571428571,7
2024-04,Inbound Marketing,4,1.0,3
2024-05,Inbound Marketing,4,1.0,4
2024-06,Inbound Marketing,4,1.0,6
2024-07,Inbound Marketing,4,0.6363636363636364,11
2024-08,Inbound Marketing,4,1.0,3
2024-09,Inbound Marketing,4,1.0,4
2024-10,Inbound Marketing,4,1.0,6
2024-11,Inbound Marketing,4,1.0,9
2024-12,Inbound Marketing,4,1.0,5
2025-01,Inbound Marketing,4,1.0,5
2025-02,Inbound Marketing,4,1.0,1
2025-03,Inbound Marketing,4,0.875,8
2025-04,Inbound Marketing,4,1.0,8
2025-05,Inbound Marketing,4,1.0,4
2025-06,Inbound Marketing,4,1.0,3
2025-07,Inbound Marketing,4,1.0,4
2025-08,Inbound Marketing,4,1.0,4
2023-01,Inbound Marketing,5,0.875,8
2023-02,Inbound Marketing,5,1.0,4
2023-03,Inbound Marketing,5,1.0,7
2023-04,Inbound Marketing,5,1.0,5
2023-05,Inbound Marketing,5,1.0,5
2023-06,Inbound Marketing,5,1.0,8
2023-07,Inbound Marketing,5,1.0,8
2023-08,Inbound Marketing,5,0.8333333333333334,6
2023-09,Inbound Marketing,5,1.0,5
2023-10,Inbound Marketing,5,0.75,4
2023-11,Inbound Marketing,5,1.0,7
2023-12,Inbound Marketing,5,0.9,10
2024-01,Inbound Marketing,5,1.0,6
2024-02,Inbound Marketing,5,1.0,4
2024-03,Inbound Marketing,5,0.8571428571428571,7
2024-04,Inbound Marketing,5,1.0,3
2024-05,Inbound Marketing,5,1.0,4
2024-06,Inbound Marketing,5,1.0,6
2024-07,Inbound Marketing,5,0.6363636363636364,11
2024-08,Inbound Marketing,5,1.0,3
2024-09,Inbound Marketing,5,1.0,4
2024-10,Inbound Marketing,5,1.0,6
2024-11,Inbound Marketing,5,1.0,9
2024-12,Inbound Marketing,5,1.0,5
2025-01,Inbound Marketing,5,1.0,5
2025-02,Inbound Marketing,5,1.0,1
2025-03,Inbound Marketing,5,0.875,8
2025-04,Inbound Marketing,5,1.0,8
2025-05,Inbound Marketing,5,1.0,4
2025-06,Inbound Marketing,5,0.6666666666666666,3
2025-07,Inbound Marketing,5,1.0,4
2023-01,Inbound Marketing,6,0.875,8
2023-02,Inbound Marketing,6,1.0,4
2023-03,Inbound Marketing,6,1.0,7
2023-04,Inbound Marketing,6,1.0,5
2023-05,Inbound Marketing,6,1.0,5
2023-06,Inbound Marketing,6,1.0,8
2023-07,Inbound Marketing,6,0.875,8
2023-08,Inbound Marketing,6,0.8333333333333334,6
2023-09,Inbound Marketing,6,1.0,5
2023-10,Inbound Marketing,6,0.75,4
2023-11,Inbound Marketing,6,1.0,7
2023-12,Inbound Marketing,6,0.9,10
2024-01,Inbound Marketing,6,1.0,6
2024-02,Inbound Marketing,6,1.0,4
2024-03,Inbound Marketing,6,0.8571428571428571,7
2024-04,Inbound Marketing,6,1.0,3
2024-05,Inbound Marketing,6,1.0,4
2024-06,Inbound Marketing,6,1.0,6
2024-07,Inbound Marketing,6,0.6363636363636364,11
2024-08,Inbound Marketing,6,1.0,3
2024-09,Inbound Marketing,6,1.0,4
2024-10,Inbound Marketing,6,1.0,6
2024-11,Inbound Marketing,6,1.0,9
2024-12,Inbound Marketing,6,1.0,5
2025-01,Inbound Marketing,6,1.0,5
2025-02,Inbound Marketing,6,1.0,1
2025-03,Inbound Marketing,6,0.875,8
2025-04,Inbound Marketing,6,1.0,8
2025-05,Inbound Marketing,6,1.0,4
2025-06,Inbound Marketing,6,0.6666666666666666,3
2023-01,Inbound Marketing,7,0.875,8
2023-02,Inbound Marketing,7,1.0,4
2023-03,Inbound Marketing,7,1.0,7
2023-04,Inbound Marketing,7,1.0,5
2023-05,Inbound Marketing,7,0.8,5
2023-06,Inbound Marketing,7,1.0,8
2023-07,Inbound Marketing,7,0.875,8
2023-08,Inbound Marketing,7,0.8333333333333334,6
2023-09,Inbound Marketing,7,0.8,5
2023-10,Inbound Marketing,7,0.75,4
2023-11,Inbound Marketing,7,1.0,7
2023-12,Inbound Marketing,7,0.9,10
2024-01,Inbound Marketing,7,1.0,6
2024-02,Inbound Marketing,7,1.0,4
2024-03,Inbound Marketing,7,0.8571428571428571,7
2024-04,Inbound Marketing,7,1.0,3
2024-05,Inbound Marketing,7,1.0,4
2024-06,Inbound Marketing,7,1.0,6
2024-07,Inbound Marketing,7,0.6363636363636364,11
2024-08,Inbound Marketing,7,1.0,3
2024-09,Inbound Marketing,7,1.0,4
2024-10,Inbound Marketing,7,1.0,6
2024-11,Inbound Marketing,7,1.0,9
2024-12,Inbound Marketing,7,1.0,5
2025-01,Inbound Marketing,7,1.0,5
2025-02,Inbound Marketing,7,1.0,1
2025-03,Inbound Marketing,7,0.875,8
2025-04,Inbound Marketing,7,1.0,8
2025-05,Inbound Marketing,7,1.0,4
2023-01,Inbound Marketing,8,0.875,8
2023-02,Inbound Marketing,8,0.75,4
2023-03,Inbound Marketing,8,1.0,7
2023-04,Inbound Marketing,8,0.8,5
2023-05,Inbound Marketing,8,0.8,5
2023-06,Inbound Marketing,8,1.0,8
2023-07,Inbound Marketing,8,0.875,8
2023-08,Inbound Marketing,8,0.8333333333333334,6
2023-09,Inbound Marketing,8,0.8,5
2023-10,Inbound Marketing,8,0.75,4
2023-11,Inbound Marketing,8,1.0,7
2023-12,Inbound Marketing,8,0.9,10
2024-01,Inbound Marketing,8,0.6666666666666666,6
2024-02,Inbound Marketing,8,1.0,4
2024-03,Inbound Marketing,8,0.8571428571428571,7
2024-04,Inbound Marketing,8,1.0,3
2024-05,Inbound Marketing,8,1.0,4
2024-06,Inbound Marketing,8,1.0,6
2024-07,Inbound Marketing,8,0.6363636363636364,11
2024-08,Inbound Marketing,8,1.0,3
2024-09,Inbound Marketing,8,1.0,4
2024-10,Inbound Marketing,8,1.0,6
2024-11,Inbound Marketing,8,0.8888888888888888,9
2024-12,Inbound Marketing,8,1.0,5
2025-01,Inbound Marketing,8,1.0,5
2025-02,Inbound Marketing,8,1.0,1
2025-03,Inbound Marketing,8,0.875,8
2025-04,Inbound Marketing,8,1.0,8
2023-01,Inbound Marketing,9,0.875,8
2023-02,Inbound Marketing,9,0.75,4
2023-03,Inbound Marketing,9,1.0,7
2023-04,Inbound Marketing,9,0.8,5
2023-05,Inbound Marketing,9,0.8,5
2023-06,Inbound Marketing,9,1.0,8
2023-07,Inbound Marketing,9,0.875,8
2023-08,Inbound Marketing,9,0.8333333333333334,6
2023-09,Inbound Marketing,9,0.8,5
2023-10,Inbound Marketing,9,0.75,4
2023-11,Inbound Marketing,9,1.0,7
2023-12,Inbound Marketing,9,0.9,10
2024-01,Inbound Marketing,9,0.6666666666666666,6
2024-02,Inbound Marketing,9,1.0,4
2024-03,Inbound Marketing,9,0.8571428571428571,7
2024-04,Inbound Marketing,9,1.0,3
2024-05,Inbound Marketing,9,1.0,4
2024-06,Inbound Marketing,9,1.0,6
2024-07,Inbound Marketing,9,0.6363636363636364,11
2024-08,Inbound Marketing,9,1.0,3
2024-09,Inbound Marketing,9,0.75,4
2024-10,Inbound Marketing,9,1.0,6
2024-11,Inbound Marketing,9,0.7777777777777778,9
2024-12,Inbound Marketing,9,1.0,5
2025-01,Inbound Marketing,9,1.0,5
2025-02,Inbound Marketing,9,1.0,1
2025-03,Inbound Marketing,9,0.875,8
2023-01,Inbound Marketing,10,0.875,8
2023-02,Inbound Marketing,10,0.75,4
2023-03,Inbound Marketing,10,0.8571428571428571,7
2023-04,Inbound Marketing,10,0.8,5
2023-05,Inbound Marketing,10,0.8,5
2023-06,Inbound Marketing,10,1.0,8
2023-07,Inbound Marketing,10,0.875,8
2023-08,Inbound Marketing,10,0.8333333333333334,6
2023-09,Inbound Marketing,10,0.8,5
2023-10,Inbound Marketing,10,0.75,4
2023-11,Inbound Marketing,10,1.0,7
2023-12,Inbound Marketing,10,0.9,10
2024-01,Inbound Marketing,10,0.6666666666666666,6
2024-02,Inbound Marketing,10,1.0,4
2024-03,Inbound Marketing,10,0.8571428571428571,7
2024-04,Inbound Marketing,10,1.0,3
2024-05,Inbound Marketing,10,1.0,4
2024-06,Inbound Marketing,10,1.0,6
2024-07,Inbound Marketing,10,0.6363636363636364,11
2024-08,Inbound Marketing,10,1.0,3
2024-09,Inbound Marketing,10,0.75,4
2024-10,Inbound Marketing,10,1.0,6
2024-11,Inbound Marketing,10,0.7777777777777778,9
2024-12,Inbound Marketing,10,1.0,5
2025-01,Inbound Marketing,10,1.0,5
2025-02,Inbound Marketing,10,1.0,1
2023-01,Inbound Marketing,11,0.875,8
2023-02,Inbound Marketing,11,0.75,4
2023-03,Inbound Marketing,11,0.8571428571428571,7
2023-04,Inbound Marketing,11,0.8,5
2023-05,Inbound Marketing,11,0.8,5
2023-06,Inbound Marketing,11,1.0,8
2023-07,Inbound Marketing,11,0.75,8
2023-08,Inbound Marketing,11,0.8333333333333334,6
2023-09,Inbound Marketing,11,0.8,5
2023-10,Inbound Marketing,11,0.75,4
2023-11,Inbound Marketing,11,1.0,7
2023-12,Inbound Marketing,11,0.9,10
2024-01,Inbound Marketing,11,0.6666666666666666,6
2024-02,Inbound Marketing,11,1.0,4
2024-03,Inbound Marketing,11,0.8571428571428571,7
2024-04,Inbound Marketing,11,1.0,3
2024-05,Inbound Marketing,11,1.0,4
2024-06,Inbound Marketing,11,1.0,6
2024-07,Inbound Marketing,11,0.6363636363636364,11
2024-08,Inbound Marketing,11,1.0,3
2024-09,Inbound Marketing,11,0.75,4
2024-10,Inbound Marketing,11,1.0,6
2024-11,Inbound Marketing,11,0.7777777777777778,9
2024-12,Inbound Marketing,11,1.0,5
2025-01,Inbound Marketing,11,1.0,5
2023-01,Inbound Marketing,12,0.875,8
2023-02,Inbound Marketing,12,0.75,4
2023-03,Inbound Marketing,12,0.8571428571428571,7
2023-04,Inbound Marketing,12,0.8,5
2023-05,Inbound Marketing,12,0.8,5
2023-06,Inbound Marketing,12,1.0,8
2023-07,Inbound Marketing,12,0.75,8
2023-08,Inbound Marketing,12,0.8333333333333334,6
2023-09,Inbound Marketing,12,0.8,5
2023-10,Inbound Marketing,12,0.75,4
2023-11,Inbound Marketing,12,1.0,7
2023-12,Inbound Marketing,12,0.9,10
2024-01,Inbound Marketing,12,0.6666666666666666,6
2024-02,Inbound Marketing,12,1.0,4
2024-03,Inbound Marketing,12,0.8571428571428571,7
2024-04,Inbound Marketing,12,1.0,3
2024-05,Inbound Marketing,12,1.0,4
2024-06,Inbound Marketing,12,1.0,6
2024-07,Inbound Marketing,12,0.6363636363636364,11
2024-08,Inbound Marketing,12,1.0,3
2024-09,Inbound Marketing,12,0.75,4
2024-10,Inbound Marketing,12,1.0,6
2024-11,Inbound Marketing,12,0.7777777777777778,9
2024-12,Inbound Marketing,12,1.0,5
2023-01,Inbound Marketing,13,0.875,8
2023-02,Inbound Marketing,13,0.75,4
2023-03,Inbound Marketing,13,0.8571428571428571,7
2023-04,Inbound Marketing,13,0.8,5
2023-05,Inbound Marketing,13,0.8,5
2023-06,Inbound Marketing,13,1.0,8
2023-07,Inbound Marketing,13,0.75,8
2023-08,Inbound Marketing,13,0.8333333333333334,6
2023-09,Inbound Marketing,13,0.8,5
2023-10,Inbound Marketing,13,0.75,4
2023-11,Inbound Marketing,13,1.0,7
2023-12,Inbound Marketing,13,0.9,10
2024-01,Inbound Marketing,13,0.6666666666666666,6
2024-02,Inbound Marketing,13,1.0,4
2024-03,Inbound Marketing,13,0.8571428571428571,7
2024-04,Inbound Marketing,13,1.0,3
2024-05,Inbound Marketing,13,1.0,4
2024-06,Inbound Marketing,13,1.0,6
2024-07,Inbound Marketing,13,0.6363636363636364,11
2024-08,Inbound Marketing,13,1.0,3
2024-09,Inbound Marketing,13,0.75,4
2024-10,Inbound Marketing,13,1.0,6
2024-11,Inbound Marketing,13,0.7777777777777778,9
2023-01,Inbound Marketing,14,0.875,8
2023-02,Inbound Marketing,14,0.75,4
2023-03,Inbound Marketing,14,0.8571428571428571,7
2023-04,Inbound Marketing,14,0.8,5
2023-05,Inbound Marketing,14,0.8,5
2023-06,Inbound Marketing,14,1.0,8
2023-07,Inbound Marketing,14,0.75,8
2023-08,Inbound Marketing,14,0.8333333333333334,6
2023-09,Inbound Marketing,14,0.8,5
2023-10,Inbound Marketing,14,0.75,4
2023-11,Inbound Marketing,14,1.0,7
2023-12,Inbound Marketing,14,0.9,10
2024-01,Inbound Marketing,14,0.6666666666666666,6
2024-02,Inbound Marketing,14,1.0,4
2024-03,Inbound Marketing,14,0.8571428571428571,7
2024-04,Inbound Marketing,14,1.0,3
2024-05,Inbound Marketing,14,1.0,4
2024-06,Inbound Marketing,14,1.0,6
2024-07,Inbound Marketing,14,0.5454545454545454,11
2024-08,Inbound Marketing,14,1.0,3
2024-09,Inbound Marketing,14,0.75,4
2024-10,Inbound Marketing,14,1.0,6
2023-01,Inbound Marketing,15,0.875,8
2023-02,Inbound Marketing,15,0.75,4
2023-03,Inbound Marketing,15,0.8571428571428571,7
2023-04,Inbound Marketing,15,0.8,5
2023-05,Inbound Marketing,15,0.8,5
2023-06,Inbound Marketing,15,1.0,8
2023-07,Inbound Marketing,15,0.75,8
2023-08,Inbound Marketing,15,0.8333333333333334,6
2023-09,Inbound Marketing,15,0.8,5
2023-10,Inbound Marketing,15,0.75,4
2023-11,Inbound Marketing,15,1.0,7
2023-12,Inbound Marketing,15,0.9,10
2024-01,Inbound Marketing,15,0.6666666666666666,6
2024-02,Inbound Marketing,15,1.0,4
2024-03,Inbound Marketing,15,0.8571428571428571,7
2024-04,Inbound Marketing,15,1.0,3
2024-05,Inbound Marketing,15,1.0,4
2024-06,Inbound Marketing,15,1.0,6
2024-07,Inbound Marketing,15,0.5454545454545454,11
2024-08,Inbound Marketing,15,1.0,3
2024-09,Inbound Marketing,15,0.75,4
2023-01,Inbound Marketing,16,0.75,8
2023-02,Inbound Marketing,16,0.5,4
2023-03,Inbound Marketing,16,0.8571428571428571,7
2023-04,Inbound Marketing,16,0.6,5
2023-05,Inbound Marketing,16,0.8,5
2023-06,Inbound Marketing,16,1.0,8
2023-07,Inbound Marketing,16,0.75,8
2023-08,Inbound Marketing,16,0.8333333333333334,6
2023-09,Inbound Marketing,16,0.8,5
2023-10,Inbound Marketing,16,0.75,4
2023-11,Inbound Marketing,16,1.0,7
2023-12,Inbound Marketing,16,0.9,10
2024-01,Inbound Marketing,16,0.6666666666666666,6
2024-02,Inbound Marketing,16,1.0,4
2024-03,Inbound Marketing,16,0.8571428571428571,7
2024-04,Inbound Marketing,16,1.0,3
2024-05,Inbound Marketing,16,1.0,4
2024-06,Inbound Marketing,16,1.0,6
2024-07,Inbound Marketing,16,0.5454545454545454,11
2024-08,Inbound Marketing,16,1.0,3
2023-01,Inbound Marketing,17,0.75,8
2023-02,Inbound Marketing,17,0.5,4
2023-03,Inbound Marketing,17,0.8571428571428571,7
2023-04,Inbound Marketing,17,0.6,5
2023-05,Inbound Marketing,17,0.8,5
2023-06,Inbound Marketing,17,1.0,8
2023-07,Inbound Marketing,17,0.75,8
2023-08,Inbound Marketing,17,0.8333333333333334,6
2023-09,Inbound Marketing,17,0.8,5
2023-10,Inbound Marketing,17,0.75,4
2023-11,Inbound Marketing,17,1.0,7
2023-12,Inbound Marketing,17,0.9,10
2024-01,Inbound Marketing,17,0.6666666666666666,6
2024-02,Inbound Marketing,17,1.0,4
2024-03,Inbound Marketing,17,0.8571428571428571,7
2024-04,Inbound Marketing,17,0.6666666666666666,3
2024-05,Inbound Marketing,17,1.0,4
2024-06,Inbound Marketing,17,1.0,6
2024-07,Inbound Marketing,17,0.5454545454545454,11
2023-01,Inbound Marketing,18,0.625,8
2023-02,Inbound Marketing,18,0.5,4
2023-03,Inbound Marketing,18,0.8571428571428571,7
2023-04,Inbound Marketing,18,0.6,5
2023-05,Inbound Marketing,18,0.8,5
2023-06,Inbound Marketing,18,1.0,8
2023-07,Inbound Marketing,18,0.75,8
2023-08,Inbound Marketing,18,0.8333333333333334,6
2023-09,Inbound Marketing,18,0.8,5
2023-10,Inbound Marketing,18,0.75,4
2023-11,Inbound Marketing,18,1.0,7
2023-12,Inbound Marketing,18,0.8,10
2024-01,Inbound Marketing,18,0.6666666666666666,6
2024-02,Inbound Marketing,18,1.0,4
2024-03,Inbound Marketing,18,0.8571428571428571,7
2024-04,Inbound Marketing,18,0.6666666666666666,3
2024-05,Inbound Marketing,18,1.0,4
2024-06,Inbound Marketing,18,1.0,6
2023-01,Inbound Marketing,19,0.625,8
2023-02,Inbound Marketing,19,0.5,4
2023-03,Inbound Marketing,19,0.8571428571428571,7
2023-04,Inbound Marketing,19,0.6,5
2023-05,Inbound Marketing,19,0.8,5
2023-06,Inbound Marketing,19,1.0,8
2023-07,Inbound Marketing,19,0.75,8
2023-08,Inbound Marketing,19,0.8333333333333334,6
2023-09,Inbound Marketing,19,0.8,5
2023-10,Inbound Marketing,19,0.75,4
2023-11,Inbound Marketing,19,0.8571428571428571,7
2023-12,Inbound Marketing,19,0.8,10
2024-01,Inbound Marketing,19,0.6666666666666666,6
2024-02,Inbound Marketing,19,1.0,4
2024-03,Inbound Marketing,19,0.7142857142857143,7
2024-04,Inbound Marketing,19,0.6666666666666666,3
2024-05,Inbound Marketing,19,1.0,4
2023-01,Inbound Marketing,20,0.625,8
2023-02,Inbound Marketing,20,0.5,4
2023-03,Inbound Marketing,20,0.8571428571428571,7
2023-04,Inbound Marketing,20,0.6,5
2023-05,Inbound Marketing,20,0.8,5
2023-06,Inbound Marketing,20,0.875,8
2023-07,Inbound Marketing,20,0.75,8
2023-08,Inbound Marketing,20,0.8333333333333334,6
2023-09,Inbound Marketing,20,0.8,5
2023-10,Inbound Marketing,20,0.75,4
2023-11,Inbound Marketing,20,0.8571428571428571,7
2023-12,Inbound Marketing,20,0.7,10
2024-01,Inbound Marketing,20,0.6666666666666666,6
2024-02,Inbound Marketing,20,1.0,4
2024-03,Inbound Marketing,20,0.7142857142857143,7
2024-04,Inbound Marketing,20,0.6666666666666666,3
2023-01,Inbound Marketing,21,0.625,8
2023-02,Inbound Marketing,21,0.25,4
2023-03,Inbound Marketing,21,0.8571428571428571,7
2023-04,Inbound Marketing,21,0.6,5
2023-05,Inbound Marketing,21,0.8,5
2023-06,Inbound Marketing,21,0.875,8
2023-07,Inbound Marketing,21,0.75,8
2023-08,Inbound Marketing,21,0.8333333333333334,6
2023-09,Inbound Marketing,21,0.8,5
2023-10,Inbound Marketing,21,0.75,4
2023-11,Inbound Marketing,21,0.8571428571428571,7
2023-12,Inbound Marketing,21,0.6,10
2024-01,Inbound Marketing,21,0.6666666666666666,6
2024-02,Inbound Marketing,21,1.0,4
2024-03,Inbound Marketing,21,0.7142857142857143,7
2023-01,Inbound Marketing,22,0.625,8
2023-02,Inbound Marketing,22,0.25,4
2023-03,Inbound Marketing,22,0.8571428571428571,7
2023-04,Inbound Marketing,22,0.6,5
2023-05,Inbound Marketing,22,0.8,5
2023-06,Inbound Marketing,22,0.875,8
2023-07,Inbound Marketing,22,0.75,8
2023-08,Inbound Marketing,22,0.8333333333333334,6
2023-09,Inbound Marketing,22,0.8,5
2023-10,Inbound Marketing,22,0.75,4
2023-11,Inbound Marketing,22,0.8571428571428571,7
2023-12,Inbound Marketing,22,0.6,10
2024-01,Inbound Marketing,22,0.6666666666666666,6
2024-02,Inbound Marketing,22,1.0,4
2023-01,Inbound Marketing,23,0.625,8
2023-02,Inbound Marketing,23,0.25,4
2023-03,Inbound Marketing,23,0.8571428571428571,7
2023-04,Inbound Marketing,23,0.6,5
2023-05,Inbound Marketing,23,0.8,5
2023-06,Inbound Marketing,23,0.875,8
2023-07,Inbound Marketing,23,0.75,8
2023-08,Inbound Marketing,23,0.6666666666666666,6
2023-09,Inbound Marketing,23,0.8,5
2023-10,Inbound Marketing,23,0.75,4
2023-11,Inbound Marketing,23,0.7142857142857143,7
2023-12,Inbound Marketing,23,0.6,10
2024-01,Inbound Marketing,23,0.6666666666666666,6
2023-01,Inbound Marketing,24,0.625,8
2023-02,Inbound Marketing,24,0.25,4
2023-03,Inbound Marketing,24,0.8571428571428571,7
2023-04,Inbound Marketing,24,0.6,5
2023-05,Inbound Marketing,24,0.8,5
2023-06,Inbound Marketing,24,0.875,8
2023-07,Inbound Marketing,24,0.75,8
2023-08,Inbound Marketing,24,0.6666666666666666,6
2023-09,Inbound Marketing,24,0.8,5
2023-10,Inbound Marketing,24,0.75,4
2023-11,Inbound Marketing,24,0.7142857142857143,7
2023-12,Inbound Marketing,24,0.6,10
2023-01,Self-Serve Promo,0,1.0,1
2023-02,Self-Serve Promo,0,1.0,2
2023-03,Self-Serve Promo,0,1.0,1
2023-04,Self-Serve Promo,0,1.0,3
2023-05,Self-Serve Promo,0,1.0,2
2023-06,Self-Serve Promo,0,1.0,2
2023-08,Self-Serve Promo,0,1.0,3
2023-09,Self-Serve Promo,0,1.0,1
