opportunity_id,stage,entered_date,exited_date,days_in_stage
OPP-00027,Discovery,2022-12-20,2022-12-26,6.0
OPP-00027,Qualification,2022-12-26,2023-01-04,9.0
OPP-00027,Proof of Concept,2023-01-04,2023-02-04,31.0
OPP-00027,Negotiation,2023-02-04,2023-02-18,14.0
OPP-00028,Discovery,2022-11-28,2022-12-14,16.0
OPP-00028,Qualification,2022-12-14,2023-01-02,19.0
OPP-00028,Proof of Concept,2023-01-02,2023-01-08,6.0
OPP-00028,Negotiation,2023-01-08,2023-02-07,30.0
OPP-00029,Discovery,2023-01-04,2023-01-10,6.0
OPP-00029,Qualification,2023-01-10,2023-01-18,8.0
OPP-00029,Proof of Concept,2023-01-18,2023-01-23,5.0
OPP-00029,Negotiation,2023-01-23,2023-02-09,17.0
OPP-00030,Discovery,2022-12-18,2022-12-26,8.0
OPP-00030,Qualification,2022-12-26,2023-01-07,12.0
OPP-00030,Proof of Concept,2023-01-07,2023-01-16,9.0
OPP-00030,Negotiation,2023-01-16,2023-02-05,20.0
OPP-00031,Discovery,2022-12-18,2022-12-21,3.0
OPP-00031,Qualification,2022-12-21,2023-01-09,19.0
OPP-00031,Proof of Concept,2023-01-09,2023-01-23,14.0
OPP-00031,Negotiation,2023-01-23,2023-02-21,29.0
OPP-00032,Discovery,2023-01-11,2023-01-20,9.0
OPP-00032,Qualification,2023-01-20,2023-01-29,9.0
OPP-00032,Proof of Concept,2023-01-29,2023-02-01,3.0
OPP-00032,Negotiation,2023-02-01,2023-02-10,9.0
OPP-00033,Discovery,2022-11-20,2022-12-16,26.0
OPP-00033,Qualification,2022-12-16,2022-12-20,4.0
OPP-00033,Proof of Concept,2022-12-20,2023-02-05,47.0
OPP-00033,Negotiation,2023-02-05,2023-02-10,5.0
OPP-00034,Discovery,2023-02-06,2023-02-16,10.0
OPP-00034,Qualification,2023-02-16,2023-02-25,9.0
OPP-00034,Proof of Concept,2023-02-25,2023-03-14,17.0
OPP-00034,Negotiation,2023-03-14,2023-03-27,13.0
OPP-00035,Discovery,2023-01-10,2023-01-21,11.0
OPP-00035,Qualification,2023-01-21,2023-02-05,15.0
OPP-00035,Proof of Concept,2023-02-05,2023-02-19,14.0
OPP-00035,Negotiation,2023-02-19,2023-03-01,10.0
OPP-00036,Discovery,2022-12-16,2022-12-19,3.0
OPP-00036,Qualification,2022-12-19,2023-01-10,22.0
OPP-00036,Proof of Concept,2023-01-10,2023-02-18,39.0
OPP-00036,Negotiation,2023-02-18,2023-03-06,16.0
OPP-00037,Discovery,2023-01-21,2023-01-26,5.0
OPP-00037,Qualification,2023-01-26,2023-01-31,5.0
OPP-00037,Proof of Concept,2023-01-31,2023-02-12,12.0
OPP-00037,Negotiation,2023-02-12,2023-03-16,32.0
OPP-00038,Discovery,2023-02-08,2023-02-13,5.0
OPP-00038,Qualification,2023-02-13,2023-02-24,11.0
OPP-00038,Proof of Concept,2023-02-24,2023-03-04,8.0
OPP-00038,Negotiation,2023-03-04,2023-03-26,22.0
OPP-00039,Discovery,2023-01-25,2023-02-01,7.0
OPP-00039,Qualification,2023-02-01,2023-02-24,23.0
OPP-00039,Proof of Concept,2023-02-24,2023-03-11,15.0
OPP-00039,Negotiation,2023-03-11,2023-03-23,12.0
OPP-00040,Discovery,2023-02-25,2023-02-27,2.0
OPP-00040,Qualification,2023-02-27,2023-03-17,18.0
OPP-00040,Proof of Concept,2023-03-17,2023-03-23,6.0
OPP-00040,Negotiation,2023-03-23,2023-03-26,3.0
OPP-00041,Discovery,2023-01-04,2023-01-06,2.0
OPP-00041,Qualification,2023-01-06,2023-01-20,14.0
OPP-00041,Proof of Concept,2023-01-20,2023-03-05,44.0
OPP-00041,Negotiation,2023-03-05,2023-03-08,3.0
OPP-00042,Discovery,2023-02-25,2023-03-09,12.0
OPP-00042,Qualification,2023-03-09,2023-03-19,10.0
OPP-00042,Proof of Concept,2023-03-19,2023-03-21,2.0
OPP-00042,Negotiation,2023-03-21,2023-03-24,3.0
OPP-00043,Discovery,2023-02-15,2023-02-19,4.0
OPP-00043,Qualification,2023-02-19,2023-03-08,17.0
OPP-00043,Proof of Concept,2023-03-08,2023-03-16,8.0
OPP-00043,Negotiation,2023-03-16,2023-03-26,10.0
OPP-00044,Discovery,2023-01-17,2023-01-22,5.0
OPP-00044,Qualification,2023-01-22,2023-02-13,22.0
OPP-00044,Proof of Concept,2023-02-13,2023-03-09,24.0
OPP-00044,Negotiation,2023-03-09,2023-03-23,14.0
OPP-00045,Discovery,2023-02-06,2023-02-07,1.0
OPP-00045,Qualification,2023-02-07,2023-02-19,12.0
OPP-00045,Proof of Concept,2023-02-19,2023-03-04,13.0
OPP-00045,Negotiation,2023-03-04,2023-03-09,5.0
OPP-00046,Discovery,2022-10-24,2022-10-31,7.0
OPP-00046,Qualification,2022-10-31,2022-11-11,11.0
OPP-00046,Proof of Concept,2022-11-11,2023-02-21,102.0
OPP-00046,Negotiation,2023-02-21,2023-03-05,12.0
OPP-00047,Discovery,2022-12-29,2023-01-18,20.0
OPP-00047,Qualification,2023-01-18,2023-02-08,21.0
OPP-00047,Proof of Concept,2023-02-08,2023-02-27,19.0
OPP-00047,Negotiation,2023-02-27,2023-03-12,13.0
OPP-00048,Discovery,2023-02-21,2023-02-24,3.0
OPP-00048,Qualification,2023-02-24,2023-03-03,7.0
OPP-00048,Proof of Concept,2023-03-03,2023-03-11,8.0
OPP-00048,Negotiation,2023-03-11,2023-03-24,13.0
OPP-00049,Discovery,2023-02-07,2023-02-14,7.0
OPP-00049,Qualification,2023-02-14,2023-03-02,16.0
OPP-00049,Proof of Concept,2023-03-02,2023-03-12,10.0
OPP-00049,Negotiation,2023-03-12,2023-03-18,6.0
OPP-00050,Discovery,2023-01-13,2023-01-19,6.0
OPP-00050,Qualification,2023-01-19,2023-02-05,17.0
OPP-00050,Proof of Concept,2023-02-05,2023-02-27,22.0
OPP-00050,Negotiation,2023-02-27,2023-03-03,4.0
OPP-00051,Discovery,2022-12-26,2022-12-31,5.0
OPP-00051,Qualification,2022-12-31,2023-01-20,20.0
OPP-00051,Proof of Concept,2023-01-20,2023-03-17,56.0
OPP-00051,Negotiation,2023-03-17,2023-03-22,5.0
OPP-00052,Discovery,2023-02-19,2023-02-24,5.0
OPP-00052,Qualification,2023-02-24,2023-03-02,6.0
OPP-00052,Proof of Concept,2023-03-02,2023-03-12,10.0
OPP-00052,Negotiation,2023-03-12,2023-03-22,10.0
OPP-00053,Discovery,2023-03-14,2023-03-27,13.0
OPP-00053,Qualification,2023-03-27,2023-03-28,1.0
OPP-00053,Proof of Concept,2023-03-28,2023-04-03,6.0
OPP-00053,Negotiation,2023-04-03,2023-04-12,9.0
OPP-00054,Discovery,2023-03-16,2023-03-19,3.0
OPP-00054,Qualification,2023-03-19,2023-03-24,5.0
OPP-00054,Proof of Concept,2023-03-24,2023-03-31,7.0
OPP-00054,Negotiation,2023-03-31,2023-04-05,5.0
OPP-00055,Discovery,2023-01-24,2023-01-25,1.0
OPP-00055,Qualification,2023-01-25,2023-01-30,5.0
OPP-00055,Proof of Concept,2023-01-30,2023-03-29,58.0
OPP-00055,Negotiation,2023-03-29,2023-04-09,11.0
OPP-00056,Discovery,2023-03-16,2023-03-20,4.0
OPP-00056,Qualification,2023-03-20,2023-03-30,10.0
OPP-00056,Proof of Concept,2023-03-30,2023-04-07,8.0
OPP-00056,Negotiation,2023-04-07,2023-04-21,14.0
OPP-00057,Discovery,2023-02-19,2023-02-22,3.0
OPP-00057,Qualification,2023-02-22,2023-03-11,17.0
OPP-00057,Proof of Concept,2023-03-11,2023-03-30,19.0
OPP-00057,Negotiation,2023-03-30,2023-04-24,25.0
OPP-00058,Discovery,2023-01-29,2023-02-05,7.0
OPP-00058,Qualification,2023-02-05,2023-03-09,32.0
OPP-00058,Proof of Concept,2023-03-09,2023-04-13,35.0
OPP-00058,Negotiation,2023-04-13,2023-04-22,9.0
OPP-00059,Discovery,2023-03-05,2023-03-21,16.0
OPP-00059,Qualification,2023-03-21,2023-03-29,8.0
OPP-00059,Proof of Concept,2023-03-29,2023-04-10,12.0
OPP-00059,Negotiation,2023-04-10,2023-04-15,5.0
OPP-00060,Discovery,2023-03-09,2023-03-20,11.0
OPP-00060,Qualification,2023-03-20,2023-03-30,10.0
OPP-00060,Proof of Concept,2023-03-30,2023-04-04,5.0
OPP-00060,Negotiation,2023-04-04,2023-04-15,11.0
OPP-00061,Discovery,2023-02-28,2023-03-03,3.0
OPP-00061,Qualification,2023-03-03,2023-03-29,26.0
OPP-00061,Proof of Concept,2023-03-29,2023-04-02,4.0
OPP-00061,Negotiation,2023-04-02,2023-04-23,21.0
OPP-00062,Discovery,2023-02-07,2023-03-01,22.0
OPP-00062,Qualification,2023-03-01,2023-03-16,15.0
OPP-00062,Proof of Concept,2023-03-16,2023-03-30,14.0
OPP-00062,Negotiation,2023-03-30,2023-04-21,22.0
OPP-00063,Discovery,2023-03-12,2023-03-25,13.0
OPP-00063,Qualification,2023-03-25,2023-03-31,6.0
OPP-00063,Proof of Concept,2023-03-31,2023-04-08,8.0
OPP-00063,Negotiation,2023-04-08,2023-04-12,4.0
OPP-00064,Discovery,2023-02-13,2023-02-26,13.0
OPP-00064,Qualification,2023-02-26,2023-03-02,4.0
OPP-00064,Proof of Concept,2023-03-02,2023-04-09,38.0
OPP-00064,Negotiation,2023-04-09,2023-04-17,8.0
OPP-00065,Discovery,2023-02-14,2023-02-24,10.0
OPP-00065,Qualification,2023-02-24,2023-03-27,31.0
OPP-00065,Proof of Concept,2023-03-27,2023-04-09,13.0
OPP-00065,Negotiation,2023-04-09,2023-04-15,6.0
OPP-00066,Discovery,2022-12-23,2022-12-27,4.0
OPP-00066,Qualification,2022-12-27,2023-01-07,11.0
OPP-00066,Proof of Concept,2023-01-07,2023-03-17,69.0
OPP-00066,Negotiation,2023-03-17,2023-04-12,26.0
OPP-00067,Discovery,2023-01-04,2023-01-06,2.0
OPP-00067,Qualification,2023-01-06,2023-01-17,11.0
OPP-00067,Proof of Concept,2023-01-17,2023-03-12,54.0
OPP-00067,Negotiation,2023-03-12,2023-04-02,21.0
OPP-00068,Discovery,2023-03-08,2023-03-23,15.0
OPP-00068,Qualification,2023-03-23,2023-03-31,8.0
OPP-00068,Proof of Concept,2023-03-31,2023-04-11,11.0
OPP-00068,Negotiation,2023-04-11,2023-04-18,7.0
OPP-00069,Discovery,2023-01-18,2023-02-04,17.0
OPP-00069,Qualification,2023-02-04,2023-02-09,5.0
OPP-00069,Proof of Concept,2023-02-09,2023-03-06,25.0
OPP-00069,Negotiation,2023-03-06,2023-04-13,38.0
OPP-00070,Discovery,2023-03-07,2023-03-09,2.0
OPP-00070,Qualification,2023-03-09,2023-03-19,10.0
OPP-00070,Proof of Concept,2023-03-19,2023-04-19,31.0
OPP-00070,Negotiation,2023-04-19,2023-05-01,12.0
OPP-00071,Discovery,2023-04-13,2023-04-16,3.0
OPP-00071,Qualification,2023-04-16,2023-04-23,7.0
OPP-00071,Proof of Concept,2023-04-23,2023-05-05,12.0
OPP-00071,Negotiation,2023-05-05,2023-05-08,3.0
OPP-00072,Discovery,2023-02-24,2023-03-13,17.0
OPP-00072,Qualification,2023-03-13,2023-03-29,16.0
OPP-00072,Proof of Concept,2023-03-29,2023-05-07,39.0
OPP-00072,Negotiation,2023-05-07,2023-05-19,12.0
OPP-00073,Discovery,2023-03-18,2023-03-20,2.0
OPP-00073,Qualification,2023-03-20,2023-03-31,11.0
OPP-00073,Proof of Concept,2023-03-31,2023-05-01,31.0
OPP-00073,Negotiation,2023-05-01,2023-05-15,14.0
OPP-00074,Discovery,2022-11-03,2022-11-21,18.0
OPP-00074,Qualification,2022-11-21,2022-12-30,39.0
OPP-00074,Proof of Concept,2022-12-30,2023-05-01,122.0
OPP-00074,Negotiation,2023-05-01,2023-05-06,5.0
OPP-00075,Discovery,2023-03-10,2023-03-21,11.0
OPP-00075,Qualification,2023-03-21,2023-04-05,15.0
OPP-00075,Proof of Concept,2023-04-05,2023-04-10,5.0
OPP-00075,Negotiation,2023-04-10,2023-05-02,22.0
OPP-00076,Discovery,2023-02-19,2023-02-23,4.0
OPP-00076,Qualification,2023-02-23,2023-03-03,8.0
OPP-00076,Proof of Concept,2023-03-03,2023-05-04,62.0
OPP-00076,Negotiation,2023-05-04,2023-05-19,15.0
OPP-00077,Discovery,2023-05-03,2023-05-04,1.0
OPP-00077,Qualification,2023-05-04,2023-05-13,9.0
OPP-00077,Proof of Concept,2023-05-13,2023-05-19,6.0
OPP-00077,Negotiation,2023-05-19,2023-05-25,6.0
OPP-00078,Discovery,2023-03-26,2023-04-09,14.0
OPP-00078,Qualification,2023-04-09,2023-04-21,12.0
OPP-00078,Proof of Concept,2023-04-21,2023-04-27,6.0
OPP-00078,Negotiation,2023-04-27,2023-05-12,15.0
OPP-00079,Discovery,2023-04-13,2023-04-28,15.0
OPP-00079,Qualification,2023-04-28,2023-05-09,11.0
OPP-00079,Proof of Concept,2023-05-09,2023-05-21,12.0
OPP-00079,Negotiation,2023-05-21,2023-05-26,5.0
OPP-00080,Discovery,2023-04-11,2023-04-19,8.0
OPP-00080,Qualification,2023-04-19,2023-04-22,3.0
OPP-00080,Proof of Concept,2023-04-22,2023-04-28,6.0
OPP-00080,Negotiation,2023-04-28,2023-05-07,9.0
OPP-00081,Discovery,2023-02-23,2023-03-07,12.0
OPP-00081,Qualification,2023-03-07,2023-03-30,23.0
OPP-00081,Proof of Concept,2023-03-30,2023-05-14,45.0
OPP-00081,Negotiation,2023-05-14,2023-05-17,3.0
OPP-00082,Discovery,2023-04-09,2023-04-18,9.0
OPP-00082,Qualification,2023-04-18,2023-04-26,8.0
OPP-00082,Proof of Concept,2023-04-26,2023-05-07,11.0
OPP-00082,Negotiation,2023-05-07,2023-05-10,3.0
OPP-00083,Discovery,2023-02-04,2023-02-05,1.0
OPP-00083,Qualification,2023-02-05,2023-02-10,5.0
OPP-00083,Proof of Concept,2023-02-10,2023-05-07,86.0
OPP-00083,Negotiation,2023-05-07,2023-05-20,13.0
OPP-00084,Discovery,2023-03-30,2023-04-03,4.0
OPP-00084,Qualification,2023-04-03,2023-04-24,21.0
OPP-00084,Proof of Concept,2023-04-24,2023-04-28,4.0
OPP-00084,Negotiation,2023-04-28,2023-05-04,6.0
OPP-00085,Discovery,2023-03-19,2023-03-29,10.0
OPP-00085,Qualification,2023-03-29,2023-04-04,6.0
OPP-00085,Proof of Concept,2023-04-04,2023-05-08,34.0
OPP-00085,Negotiation,2023-05-08,2023-05-14,6.0
OPP-00086,Discovery,2023-03-05,2023-03-14,9.0
OPP-00086,Qualification,2023-03-14,2023-03-19,5.0
OPP-00086,Proof of Concept,2023-03-19,2023-05-14,56.0
OPP-00086,Negotiation,2023-05-14,2023-05-24,10.0
OPP-00087,Discovery,2023-03-31,2023-04-10,10.0
OPP-00087,Qualification,2023-04-10,2023-04-20,10.0
OPP-00087,Proof of Concept,2023-04-20,2023-05-04,14.0
OPP-00087,Negotiation,2023-05-04,2023-05-14,10.0
OPP-00088,Discovery,2023-04-19,2023-04-21,2.0
OPP-00088,Qualification,2023-04-21,2023-05-16,25.0
OPP-00088,Proof of Concept,2023-05-16,2023-06-04,19.0
OPP-00088,Negotiation,2023-06-04,2023-06-20,16.0
OPP-00089,Discovery,2023-04-11,2023-04-14,3.0
OPP-00089,Qualification,2023-04-14,2023-04-24,10.0
OPP-00089,Proof of Concept,2023-04-24,2023-05-27,33.0
OPP-00089,Negotiation,2023-05-27,2023-06-13,17.0
OPP-00090,Discovery,2023-05-05,2023-05-07,2.0
OPP-00090,Qualification,2023-05-07,2023-05-15,8.0
OPP-00090,Proof of Concept,2023-05-15,2023-06-06,22.0
OPP-00090,Negotiation,2023-06-06,2023-06-23,17.0
OPP-00091,Discovery,2023-05-09,2023-05-16,7.0
OPP-00091,Qualification,2023-05-16,2023-05-31,15.0
OPP-00091,Proof of Concept,2023-05-31,2023-06-19,19.0
OPP-00091,Negotiation,2023-06-19,2023-06-23,4.0
OPP-00092,Discovery,2023-04-09,2023-04-12,3.0
OPP-00092,Qualification,2023-04-12,2023-04-30,18.0
OPP-00092,Proof of Concept,2023-04-30,2023-05-06,6.0
OPP-00092,Negotiation,2023-05-06,2023-06-25,50.0
OPP-00093,Discovery,2023-05-19,2023-05-24,5.0
OPP-00093,Qualification,2023-05-24,2023-06-01,8.0
OPP-00093,Proof of Concept,2023-06-01,2023-06-13,12.0
OPP-00093,Negotiation,2023-06-13,2023-06-20,7.0
OPP-00094,Discovery,2023-05-13,2023-05-19,6.0
OPP-00094,Qualification,2023-05-19,2023-06-02,14.0
OPP-00094,Proof of Concept,2023-06-02,2023-06-09,7.0
OPP-00094,Negotiation,2023-06-09,2023-06-18,9.0
OPP-00095,Discovery,2023-05-10,2023-05-18,8.0
OPP-00095,Qualification,2023-05-18,2023-06-05,18.0
OPP-00095,Proof of Concept,2023-06-05,2023-06-16,11.0
OPP-00095,Negotiation,2023-06-16,2023-06-24,8.0
OPP-00096,Discovery,2023-04-04,2023-04-12,8.0
OPP-00096,Qualification,2023-04-12,2023-05-05,23.0
OPP-00096,Proof of Concept,2023-05-05,2023-06-15,41.0
OPP-00096,Negotiation,2023-06-15,2023-06-23,8.0
OPP-00097,Discovery,2023-05-19,2023-05-23,4.0
OPP-00097,Qualification,2023-05-23,2023-05-29,6.0
OPP-00097,Proof of Concept,2023-05-29,2023-05-30,1.0
OPP-00097,Negotiation,2023-05-30,2023-06-05,6.0
OPP-00098,Discovery,2023-04-22,2023-04-25,3.0
OPP-00098,Qualification,2023-04-25,2023-04-27,2.0
OPP-00098,Proof of Concept,2023-04-27,2023-05-31,34.0
OPP-00098,Negotiation,2023-05-31,2023-06-12,12.0
OPP-00099,Discovery,2023-04-29,2023-05-15,16.0
OPP-00099,Qualification,2023-05-15,2023-05-30,15.0
OPP-00099,Proof of Concept,2023-05-30,2023-06-02,3.0
OPP-00099,Negotiation,2023-06-02,2023-06-18,16.0
OPP-00100,Discovery,2023-04-24,2023-05-07,13.0
OPP-00100,Qualification,2023-05-07,2023-05-24,17.0
OPP-00100,Proof of Concept,2023-05-24,2023-06-01,8.0
OPP-00100,Negotiation,2023-06-01,2023-06-20,19.0
OPP-00101,Discovery,2023-05-17,2023-05-19,2.0
OPP-00101,Qualification,2023-05-19,2023-05-20,1.0
OPP-00101,Proof of Concept,2023-05-20,2023-06-02,13.0
OPP-00101,Negotiation,2023-06-02,2023-06-05,3.0
OPP-00102,Discovery,2023-04-16,2023-04-24,8.0
OPP-00102,Qualification,2023-04-24,2023-05-08,14.0
OPP-00102,Proof of Concept,2023-05-08,2023-05-21,13.0
OPP-00102,Negotiation,2023-05-21,2023-06-02,12.0
OPP-00103,Discovery,2023-03-23,2023-04-12,20.0
OPP-00103,Qualification,2023-04-12,2023-04-25,13.0
OPP-00103,Proof of Concept,2023-04-25,2023-05-19,24.0
OPP-00103,Negotiation,2023-05-19,2023-06-07,19.0
OPP-00104,Discovery,2023-05-24,2023-06-03,10.0
OPP-00104,Qualification,2023-06-03,2023-06-13,10.0
OPP-00104,Proof of Concept,2023-06-13,2023-06-15,2.0
OPP-00104,Negotiation,2023-06-15,2023-06-25,10.0
OPP-00105,Discovery,2023-05-04,2023-05-14,10.0
OPP-00105,Qualification,2023-05-14,2023-05-28,14.0
OPP-00105,Proof of Concept,2023-05-28,2023-06-01,4.0
OPP-00105,Negotiation,2023-06-01,2023-06-26,25.0
OPP-00106,Discovery,2023-04-19,2023-05-08,19.0
OPP-00106,Qualification,2023-05-08,2023-05-17,9.0
OPP-00106,Proof of Concept,2023-05-17,2023-07-09,53.0
OPP-00106,Negotiation,2023-07-09,2023-07-22,13.0
OPP-00107,Discovery,2023-06-10,2023-06-17,7.0
OPP-00107,Qualification,2023-06-17,2023-07-04,17.0
OPP-00107,Proof of Concept,2023-07-04,2023-07-20,16.0
OPP-00107,Negotiation,2023-07-20,2023-07-26,6.0
OPP-00108,Discovery,2023-06-18,2023-06-28,10.0
OPP-00108,Qualification,2023-06-28,2023-07-03,5.0
OPP-00108,Proof of Concept,2023-07-03,2023-07-12,9.0
OPP-00108,Negotiation,2023-07-12,2023-07-19,7.0
OPP-00109,Discovery,2023-05-30,2023-06-16,17.0
OPP-00109,Qualification,2023-06-16,2023-06-24,8.0
OPP-00109,Proof of Concept,2023-06-24,2023-07-04,10.0
OPP-00109,Negotiation,2023-07-04,2023-07-20,16.0
OPP-00110,Discovery,2023-06-01,2023-06-08,7.0
OPP-00110,Qualification,2023-06-08,2023-06-18,10.0
OPP-00110,Proof of Concept,2023-06-18,2023-07-01,13.0
OPP-00110,Negotiation,2023-07-01,2023-07-03,2.0
OPP-00111,Discovery,2023-04-18,2023-05-03,15.0
OPP-00111,Qualification,2023-05-03,2023-05-07,4.0
OPP-00111,Proof of Concept,2023-05-07,2023-06-16,40.0
OPP-00111,Negotiation,2023-06-16,2023-07-21,35.0
OPP-00112,Discovery,2023-05-31,2023-06-01,1.0
OPP-00112,Qualification,2023-06-01,2023-06-14,13.0
OPP-00112,Proof of Concept,2023-06-14,2023-06-25,11.0
OPP-00112,Negotiation,2023-06-25,2023-07-17,22.0
OPP-00113,Discovery,2023-06-16,2023-06-17,1.0
