customer_id,event_date,event_type,mrr_delta,reason
CUST-1028,2023-02-15,signup,960.0,New SMB customer via Event/Conference
CUST-1029,2023-02-18,signup,300.0,New SMB customer via Partner Referral
CUST-1030,2023-02-07,signup,600.0,New SMB customer via Event/Conference
CUST-1031,2023-02-09,signup,1800.0,New SMB customer via Event/Conference
CUST-1032,2023-02-05,signup,720.0,New SMB customer via Outbound Sales
CUST-1033,2023-02-21,signup,480.0,New SMB customer via Event/Conference
CUST-1034,2023-02-10,signup,1680.0,New SMB customer via Inbound Marketing
CUST-1035,2023-02-26,signup,150.0,New SMB customer via Self-Serve Promo
CUST-1036,2023-02-10,signup,1100.0,New Mid-Market customer via Outbound Sales
CUST-1001,2023-02-15,upgrade,250.0,Seat expansion to 21
CUST-1006,2023-02-15,churn,-360.0,Cancellation
CUST-1037,2023-03-27,signup,840.0,New SMB customer via Inbound Marketing
CUST-1038,2023-03-01,signup,200.0,New SMB customer via Outbound Sales
CUST-1039,2023-03-06,signup,400.0,New SMB customer via Partner Referral
CUST-1040,2023-03-16,signup,2900.0,New Mid-Market customer via Outbound Sales
CUST-1041,2023-03-26,signup,350.0,New SMB customer via Inbound Marketing
CUST-1042,2023-03-23,signup,750.0,New SMB customer via Inbound Marketing
CUST-1043,2023-03-26,signup,250.0,New SMB customer via Event/Conference
CUST-1044,2023-03-08,signup,2150.0,New Mid-Market customer via Outbound Sales
CUST-1045,2023-03-24,signup,750.0,New SMB customer via Inbound Marketing
CUST-1046,2023-03-26,signup,400.0,New SMB customer via Inbound Marketing
CUST-1047,2023-03-23,signup,1560.0,New SMB customer via Outbound Sales
CUST-1048,2023-03-09,signup,360.0,New SMB customer via Outbound Sales
CUST-1049,2023-03-05,signup,6000.0,New Mid-Market customer via Outbound Sales
CUST-1050,2023-03-12,signup,150.0,New SMB customer via Outbound Sales
CUST-1051,2023-03-24,signup,600.0,New SMB customer via Inbound Marketing
CUST-1052,2023-03-18,signup,150.0,New SMB customer via Outbound Sales
CUST-1053,2023-03-03,signup,700.0,New SMB customer via Inbound Marketing
CUST-1054,2023-03-22,signup,2160.0,New Mid-Market customer via Outbound Sales
CUST-1055,2023-03-22,signup,6240.0,New Mid-Market customer via Self-Serve Promo
CUST-1056,2023-03-22,signup,450.0,New SMB customer via Event/Conference
CUST-1001,2023-03-15,downgrade,-1000.0,Seat contraction to 17
CUST-1004,2023-03-15,upgrade,50.0,Seat expansion to 11
CUST-1029,2023-03-15,downgrade,-50.0,Seat contraction to 5
CUST-1057,2023-04-12,signup,250.0,New SMB customer via Outbound Sales
CUST-1058,2023-04-05,signup,350.0,New SMB customer via Inbound Marketing
CUST-1059,2023-04-09,signup,7320.0,New Mid-Market customer via Event/Conference
CUST-1060,2023-04-21,signup,700.0,New SMB customer via Event/Conference
CUST-1061,2023-04-24,signup,5400.0,New Mid-Market customer via Outbound Sales
CUST-1062,2023-04-15,signup,500.0,New SMB customer via Self-Serve Promo
CUST-1063,2023-04-22,signup,55000.0,New Enterprise customer via Event/Conference
CUST-1064,2023-04-15,signup,750.0,New SMB customer via Inbound Marketing
CUST-1065,2023-04-15,signup,550.0,New SMB customer via Inbound Marketing
CUST-1066,2023-04-23,signup,1560.0,New SMB customer via Inbound Marketing
CUST-1067,2023-04-21,signup,700.0,New SMB customer via Partner Referral
CUST-1068,2023-04-22,signup,4200.0,New Mid-Market customer via Self-Serve Promo
CUST-1069,2023-04-12,signup,1200.0,New SMB customer via Outbound Sales
CUST-1070,2023-04-17,signup,1440.0,New SMB customer via Event/Conference
CUST-1071,2023-04-04,signup,53250.0,New Enterprise customer via Self-Serve Promo
CUST-1072,2023-04-15,signup,550.0,New SMB customer via Inbound Marketing
CUST-1073,2023-04-12,signup,4080.0,New Mid-Market customer via Outbound Sales
CUST-1074,2023-04-02,signup,17750.0,New Mid-Market customer via Outbound Sales
CUST-1075,2023-04-18,signup,4000.0,New Mid-Market customer via Outbound Sales
CUST-1076,2023-04-13,signup,2400.0,New Mid-Market customer via Outbound Sales
CUST-1010,2023-04-15,upgrade,120.0,Seat expansion to 5
CUST-1016,2023-04-15,downgrade,-100.0,Seat contraction to 11
CUST-1052,2023-04-15,upgrade,50.0,Seat expansion to 4
CUST-1077,2023-05-01,signup,700.0,New SMB customer via Event/Conference
CUST-1078,2023-05-08,signup,150.0,New SMB customer via Event/Conference
CUST-1079,2023-05-19,signup,7920.0,New Mid-Market customer via Event/Conference
CUST-1080,2023-05-15,signup,150.0,New SMB customer via Outbound Sales
CUST-1081,2023-05-06,signup,2160.0,New Mid-Market customer via Outbound Sales
CUST-1082,2023-05-02,signup,36720.0,New Enterprise customer via Partner Referral
CUST-1083,2023-05-03,signup,1850.0,New Mid-Market customer via Self-Serve Promo
CUST-1084,2023-05-24,signup,750.0,New SMB customer via Self-Serve Promo
CUST-1085,2023-05-19,signup,5640.0,New Mid-Market customer via Inbound Marketing
CUST-1086,2023-05-25,signup,750.0,New SMB customer via Inbound Marketing
CUST-1087,2023-05-12,signup,500.0,New SMB customer via Outbound Sales
CUST-1088,2023-05-26,signup,550.0,New SMB customer via Inbound Marketing
CUST-1089,2023-05-07,signup,200.0,New SMB customer via Inbound Marketing
CUST-1090,2023-05-17,signup,5880.0,New Mid-Market customer via Partner Referral
CUST-1091,2023-05-10,signup,450.0,New SMB customer via Inbound Marketing
CUST-1092,2023-05-20,signup,7080.0,New Mid-Market customer via Event/Conference
CUST-1093,2023-05-04,signup,150.0,New SMB customer via Event/Conference
CUST-1094,2023-05-14,signup,650.0,New SMB customer via Outbound Sales
CUST-1095,2023-05-24,signup,6960.0,New Mid-Market customer via Outbound Sales
CUST-1096,2023-05-14,signup,200.0,New SMB customer via Outbound Sales
CUST-1008,2023-05-15,churn,-600.0,Cancellation
CUST-1019,2023-05-15,upgrade,11000.0,Seat expansion to 268
CUST-1021,2023-05-15,upgrade,100.0,Seat expansion to 15
CUST-1039,2023-05-15,downgrade,-50.0,Seat contraction to 7
CUST-1046,2023-05-15,upgrade,50.0,Seat expansion to 9
CUST-1067,2023-05-15,upgrade,150.0,Seat expansion to 17
CUST-1097,2023-06-20,signup,2760.0,New Mid-Market customer via Inbound Marketing
CUST-1098,2023-06-13,signup,550.0,New SMB customer via Outbound Sales
CUST-1099,2023-06-23,signup,3240.0,New Mid-Market customer via Event/Conference
CUST-1100,2023-06-23,signup,200.0,New SMB customer via Inbound Marketing
CUST-1101,2023-06-25,signup,300.0,New SMB customer via Outbound Sales
CUST-1102,2023-06-20,signup,300.0,New SMB customer via Inbound Marketing
CUST-1103,2023-06-18,signup,500.0,New SMB customer via Event/Conference
CUST-1104,2023-06-24,signup,600.0,New SMB customer via Inbound Marketing
CUST-1105,2023-06-14,signup,840.0,New SMB customer via Self-Serve Promo
CUST-1106,2023-06-23,signup,6000.0,New Mid-Market customer via Inbound Marketing
CUST-1107,2023-06-05,signup,400.0,New SMB customer via Event/Conference
CUST-1108,2023-06-12,signup,250.0,New SMB customer via Event/Conference
CUST-1109,2023-06-18,signup,1080.0,New SMB customer via Outbound Sales
CUST-1110,2023-06-14,signup,1320.0,New SMB customer via Self-Serve Promo
CUST-1111,2023-06-20,signup,2250.0,New Mid-Market customer via Event/Conference
CUST-1112,2023-06-05,signup,2500.0,New SMB customer via Event/Conference
CUST-1113,2023-06-02,signup,1650.0,New Mid-Market customer via Inbound Marketing
CUST-1114,2023-06-07,signup,58500.0,New Enterprise customer via Inbound Marketing
CUST-1115,2023-06-25,signup,720.0,New SMB customer via Inbound Marketing
CUST-1116,2023-06-26,signup,150.0,New SMB customer via Outbound Sales
CUST-1084,2023-06-15,upgrade,150.0,Seat expansion to 18
CUST-1117,2023-07-22,signup,4560.0,New Mid-Market customer via Event/Conference
CUST-1118,2023-07-26,signup,300.0,New SMB customer via Event/Conference
CUST-1119,2023-07-19,signup,1200.0,New SMB customer via Inbound Marketing
CUST-1120,2023-07-20,signup,700.0,New SMB customer via Event/Conference
CUST-1121,2023-07-03,signup,550.0,New SMB customer via Event/Conference
CUST-1122,2023-07-21,signup,6960.0,New Mid-Market customer via Event/Conference
CUST-1123,2023-07-17,signup,1440.0,New SMB customer via Event/Conference
CUST-1124,2023-07-03,signup,700.0,New SMB customer via Outbound Sales
CUST-1125,2023-07-10,signup,700.0,New SMB customer via Inbound Marketing
CUST-1126,2023-07-10,signup,8760.0,New Mid-Market customer via Inbound Marketing
CUST-1127,2023-07-21,signup,750.0,New SMB customer via Event/Conference
CUST-1128,2023-07-05,signup,550.0,New SMB customer via Outbound Sales
CUST-1129,2023-07-22,signup,1200.0,New SMB customer via Inbound Marketing
CUST-1130,2023-07-19,signup,57500.0,New Enterprise customer via Partner Referral
CUST-1131,2023-07-18,signup,400.0,New SMB customer via Inbound Marketing
CUST-1132,2023-07-20,signup,1080.0,New SMB customer via Outbound Sales
CUST-1133,2023-07-14,signup,300.0,New SMB customer via Outbound Sales
CUST-1134,2023-07-25,signup,150.0,New SMB customer via Inbound Marketing
CUST-1135,2023-07-01,signup,200.0,New SMB customer via Inbound Marketing
CUST-1136,2023-07-01,signup,700.0,New SMB customer via Inbound Marketing
CUST-1014,2023-07-15,upgrade,200.0,Seat expansion to 43
CUST-1016,2023-07-15,upgrade,100.0,Seat expansion to 13
CUST-1019,2023-07-15,upgrade,15250.0,Seat expansion to 329
CUST-1038,2023-07-15,churn,-200.0,Cancellation
CUST-1042,2023-07-15,upgrade,150.0,Seat expansion to 18
CUST-1047,2023-07-15,upgrade,240.0,Seat expansion to 15
CUST-1067,2023-07-15,downgrade,-100.0,Seat contraction to 15
CUST-1070,2023-07-15,churn,-1440.0,Cancellation
CUST-1114,2023-07-15,upgrade,10750.0,Seat expansion to 277
CUST-1137,2023-08-09,signup,3360.0,New Mid-Market customer via Event/Conference
CUST-1138,2023-08-07,signup,450.0,New SMB customer via Outbound Sales
CUST-1139,2023-08-02,signup,500.0,New SMB customer via Self-Serve Promo
CUST-1140,2023-08-05,signup,700.0,New SMB customer via Outbound Sales
CUST-1141,2023-08-23,signup,550.0,New SMB customer via Inbound Marketing
CUST-1142,2023-08-27,signup,1680.0,New SMB customer via Outbound Sales
CUST-1143,2023-08-27,signup,8400.0,New Mid-Market customer via Inbound Marketing
CUST-1144,2023-08-09,signup,650.0,New SMB customer via Self-Serve Promo
CUST-1145,2023-08-10,signup,600.0,New SMB customer via Outbound Sales
CUST-1146,2023-08-23,signup,3000.0,New Mid-Market customer via Self-Serve Promo
CUST-1147,2023-08-19,signup,550.0,New SMB customer via Outbound Sales
CUST-1148,2023-08-15,signup,12000.0,New Enterprise customer via Outbound Sales
CUST-1149,2023-08-15,signup,960.0,New SMB customer via Event/Conference
CUST-1150,2023-08-10,signup,300.0,New SMB customer via Inbound Marketing
CUST-1151,2023-08-24,signup,700.0,New SMB customer via Inbound Marketing
CUST-1152,2023-08-15,signup,500.0,New SMB customer via Inbound Marketing
CUST-1153,2023-08-14,signup,8520.0,New Mid-Market customer via Event/Conference
CUST-1154,2023-08-21,signup,650.0,New SMB customer via Inbound Marketing
CUST-1155,2023-08-05,signup,720.0,New SMB customer via Outbound Sales
CUST-1156,2023-08-24,signup,8040.0,New Mid-Market customer via Outbound Sales
CUST-1017,2023-08-15,upgrade,50.0,Seat expansion to 10
CUST-1035,2023-08-15,churn,-150.0,Cancellation
CUST-1044,2023-08-15,upgrade,550.0,Seat expansion to 54
CUST-1052,2023-08-15,upgrade,50.0,Seat expansion to 5
CUST-1099,2023-08-15,upgrade,600.0,Seat expansion to 32
CUST-1157,2023-09-20,signup,1320.0,New SMB customer via Inbound Marketing
CUST-1158,2023-09-24,signup,1200.0,New SMB customer via Event/Conference
CUST-1159,2023-09-27,signup,250.0,New SMB customer via Self-Serve Promo
CUST-1160,2023-09-10,signup,6960.0,New Mid-Market customer via Inbound Marketing
CUST-1161,2023-09-13,signup,1080.0,New SMB customer via Partner Referral
CUST-1162,2023-09-09,signup,350.0,New SMB customer via Outbound Sales
CUST-1163,2023-09-21,signup,27480.0,New Enterprise customer via Outbound Sales
CUST-1164,2023-09-02,signup,300.0,New SMB customer via Outbound Sales
CUST-1165,2023-09-18,signup,720.0,New SMB customer via Inbound Marketing
CUST-1166,2023-09-09,signup,480.0,New SMB customer via Outbound Sales
CUST-1167,2023-09-02,signup,66500.0,New Enterprise customer via Event/Conference
CUST-1168,2023-09-21,signup,720.0,New SMB customer via Outbound Sales
CUST-1169,2023-09-24,signup,200.0,New SMB customer via Outbound Sales
CUST-1170,2023-09-03,signup,600.0,New SMB customer via Inbound Marketing
CUST-1171,2023-09-25,signup,300.0,New SMB customer via Event/Conference
CUST-1172,2023-09-02,signup,3720.0,New Mid-Market customer via Outbound Sales
CUST-1173,2023-09-10,signup,15000.0,New Mid-Market customer via Event/Conference
CUST-1174,2023-09-03,signup,720.0,New SMB customer via Outbound Sales
CUST-1175,2023-09-15,signup,400.0,New SMB customer via Inbound Marketing
CUST-1176,2023-09-23,signup,200.0,New SMB customer via Event/Conference
CUST-1005,2023-09-15,upgrade,16500.0,Seat expansion to 388
CUST-1013,2023-09-15,upgrade,50.0,Seat expansion to 8
CUST-1042,2023-09-15,upgrade,200.0,Seat expansion to 22
CUST-1043,2023-09-15,upgrade,50.0,Seat expansion to 6
CUST-1074,2023-09-15,upgrade,3250.0,Seat expansion to 84
CUST-1097,2023-09-15,upgrade,600.0,Seat expansion to 28
CUST-1105,2023-09-15,upgrade,120.0,Seat expansion to 8
CUST-1116,2023-09-15,downgrade,0.0,Seat contraction to 3
CUST-1143,2023-09-15,churn,-8400.0,Cancellation
CUST-1145,2023-09-15,upgrade,100.0,Seat expansion to 14
CUST-1177,2023-10-01,signup,700.0,New SMB customer via Outbound Sales
CUST-1178,2023-10-27,signup,700.0,New SMB customer via Partner Referral
CUST-1179,2023-10-21,signup,1560.0,New SMB customer via Event/Conference
CUST-1180,2023-10-26,signup,1200.0,New Mid-Market customer via Inbound Marketing
CUST-1181,2023-10-06,signup,1560.0,New SMB customer via Self-Serve Promo
CUST-1182,2023-10-08,signup,2000.0,New SMB customer via Outbound Sales
CUST-1183,2023-10-18,signup,650.0,New SMB customer via Outbound Sales
CUST-1184,2023-10-09,signup,700.0,New SMB customer via Self-Serve Promo
CUST-1185,2023-10-05,signup,500.0,New SMB customer via Event/Conference
CUST-1186,2023-10-21,signup,1560.0,New SMB customer via Inbound Marketing
CUST-1187,2023-10-26,signup,350.0,New SMB customer via Partner Referral
CUST-1188,2023-10-16,signup,1440.0,New SMB customer via Inbound Marketing
CUST-1189,2023-10-12,signup,600.0,New SMB customer via Partner Referral
CUST-1190,2023-10-20,signup,200.0,New SMB customer via Partner Referral
CUST-1191,2023-10-24,signup,1800.0,New SMB customer via Outbound Sales
CUST-1192,2023-10-08,signup,550.0,New SMB customer via Outbound Sales
CUST-1193,2023-10-19,signup,5760.0,New Mid-Market customer via Outbound Sales
CUST-1194,2023-10-20,signup,500.0,New SMB customer via Partner Referral
CUST-1195,2023-10-24,signup,600.0,New SMB customer via Outbound Sales
CUST-1196,2023-10-24,signup,5040.0,New Mid-Market customer via Event/Conference
CUST-1197,2023-10-25,signup,400.0,New SMB customer via Inbound Marketing
CUST-1198,2023-10-07,signup,87250.0,New Enterprise customer via Self-Serve Promo
CUST-1199,2023-10-08,signup,550.0,New SMB customer via Outbound Sales
CUST-1024,2023-10-15,upgrade,50.0,Seat expansion to 8
CUST-1031,2023-10-15,churn,-1800.0,Cancellation
CUST-1034,2023-10-15,churn,-1680.0,Cancellation
CUST-1050,2023-10-15,upgrade,50.0,Seat expansion to 4
CUST-1062,2023-10-15,churn,-500.0,Cancellation
CUST-1063,2023-10-15,upgrade,4250.0,Seat expansion to 237
CUST-1080,2023-10-15,churn,-150.0,Cancellation
CUST-1095,2023-10-15,upgrade,480.0,Seat expansion to 62
CUST-1098,2023-10-15,churn,-550.0,Cancellation
CUST-1138,2023-10-15,upgrade,50.0,Seat expansion to 10
CUST-1139,2023-10-15,churn,-500.0,Cancellation
CUST-1164,2023-10-15,churn,-300.0,Cancellation
CUST-1200,2023-11-08,signup,1200.0,New SMB customer via Outbound Sales
CUST-1201,2023-11-23,signup,480.0,New SMB customer via Inbound Marketing
CUST-1202,2023-11-08,signup,3250.0,New SMB customer via Inbound Marketing
CUST-1203,2023-11-27,signup,720.0,New SMB customer via Partner Referral
CUST-1204,2023-11-07,signup,5750.0,New Mid-Market customer via Outbound Sales
CUST-1205,2023-11-15,signup,5400.0,New Mid-Market customer via Outbound Sales
CUST-1206,2023-11-01,signup,2750.0,New SMB customer via Event/Conference
CUST-1207,2023-11-13,signup,3960.0,New Mid-Market customer via Event/Conference
CUST-1208,2023-11-19,signup,360.0,New SMB customer via Inbound Marketing
CUST-1209,2023-11-22,signup,1440.0,New SMB customer via Inbound Marketing
CUST-1210,2023-11-09,signup,700.0,New SMB customer via Event/Conference
CUST-1211,2023-11-12,signup,200.0,New SMB customer via Outbound Sales
CUST-1212,2023-11-01,signup,150.0,New SMB customer via Event/Conference
CUST-1213,2023-11-03,signup,2040.0,New Mid-Market customer via Inbound Marketing
CUST-1214,2023-11-15,signup,600.0,New SMB customer via Self-Serve Promo
CUST-1215,2023-11-21,signup,550.0,New SMB customer via Outbound Sales
CUST-1216,2023-11-02,signup,480.0,New SMB customer via Outbound Sales
CUST-1217,2023-11-11,signup,700.0,New SMB customer via Partner Referral
CUST-1218,2023-11-13,signup,8880.0,New Mid-Market customer via Outbound Sales
CUST-1219,2023-11-23,signup,4560.0,New Mid-Market customer via Inbound Marketing
CUST-1220,2023-11-17,signup,150.0,New SMB customer via Partner Referral
CUST-1221,2023-11-11,signup,2880.0,New Mid-Market customer via Event/Conference
CUST-1222,2023-11-23,signup,450.0,New SMB customer via Inbound Marketing
CUST-1014,2023-11-15,upgrade,300.0,Seat expansion to 49
CUST-1015,2023-11-15,upgrade,120.0,Seat expansion to 16
CUST-1024,2023-11-15,upgrade,50.0,Seat expansion to 9
CUST-1055,2023-11-15,churn,-6240.0,Cancellation
CUST-1104,2023-11-15,downgrade,-50.0,Seat contraction to 11
CUST-1110,2023-11-15,upgrade,120.0,Seat expansion to 12
CUST-1111,2023-11-15,upgrade,400.0,Seat expansion to 53
CUST-1177,2023-11-15,upgrade,100.0,Seat expansion to 16
CUST-1178,2023-11-15,upgrade,100.0,Seat expansion to 16
CUST-1183,2023-11-15,churn,-650.0,Cancellation
CUST-1223,2023-12-05,signup,650.0,New SMB customer via Event/Conference
CUST-1224,2023-12-10,signup,450.0,New SMB customer via Event/Conference
CUST-1225,2023-12-03,signup,700.0,New SMB customer via Partner Referral
CUST-1226,2023-12-05,signup,960.0,New SMB customer via Outbound Sales
CUST-1227,2023-12-17,signup,750.0,New SMB customer via Inbound Marketing
CUST-1228,2023-12-02,signup,3450.0,New Mid-Market customer via Outbound Sales
CUST-1229,2023-12-23,signup,480.0,New SMB customer via Event/Conference
CUST-1230,2023-12-13,signup,750.0,New SMB customer via Inbound Marketing
CUST-1231,2023-12-14,signup,8500.0,New Mid-Market customer via Outbound Sales
CUST-1232,2023-12-13,signup,750.0,New SMB customer via Inbound Marketing
CUST-1233,2023-12-16,signup,360.0,New SMB customer via Outbound Sales
CUST-1234,2023-12-22,signup,960.0,New SMB customer via Partner Referral
CUST-1235,2023-12-13,signup,350.0,New SMB customer via Inbound Marketing
CUST-1236,2023-12-15,signup,500.0,New SMB customer via Inbound Marketing
CUST-1237,2023-12-16,signup,7440.0,New Mid-Market customer via Inbound Marketing
CUST-1238,2023-12-03,signup,3600.0,New Mid-Market customer via Event/Conference
CUST-1239,2023-12-16,signup,17750.0,New Mid-Market customer via Inbound Marketing
CUST-1240,2023-12-10,signup,150.0,New SMB customer via Inbound Marketing
CUST-1241,2023-12-22,signup,500.0,New SMB customer via Inbound Marketing
CUST-1242,2023-12-19,signup,700.0,New SMB customer via Inbound Marketing
CUST-1052,2023-12-15,upgrade,50.0,Seat expansion to 6
CUST-1056,2023-12-15,upgrade,50.0,Seat expansion to 10
CUST-1072,2023-12-15,churn,-550.0,Cancellation
CUST-1079,2023-12-15,upgrade,1560.0,Seat expansion to 79
CUST-1082,2023-12-15,upgrade,4560.0,Seat expansion to 344
CUST-1089,2023-12-15,churn,-200.0,Cancellation
CUST-1097,2023-12-15,upgrade,720.0,Seat expansion to 34
CUST-1132,2023-12-15,upgrade,120.0,Seat expansion to 10
CUST-1148,2023-12-15,upgrade,2150.0,Seat expansion to 283
CUST-1159,2023-12-15,churn,-250.0,Cancellation
CUST-1162,2023-12-15,upgrade,50.0,Seat expansion to 8
CUST-1173,2023-12-15,upgrade,1500.0,Seat expansion to 66
CUST-1179,2023-12-15,upgrade,360.0,Seat expansion to 16
CUST-1185,2023-12-15,churn,-500.0,Cancellation
CUST-1190,2023-12-15,churn,-200.0,Cancellation
CUST-1197,2023-12-15,churn,-400.0,Cancellation
CUST-1243,2024-01-27,signup,360.0,New SMB customer via Inbound Marketing
CUST-1244,2024-01-04,signup,250.0,New SMB customer via Event/Conference
CUST-1245,2024-01-17,signup,3000.0,New SMB customer via Inbound Marketing
CUST-1246,2024-01-06,signup,840.0,New SMB customer via Outbound Sales
CUST-1247,2024-01-15,signup,750.0,New SMB customer via Event/Conference
CUST-1248,2024-01-22,signup,550.0,New SMB customer via Partner Referral
CUST-1249,2024-01-04,signup,400.0,New SMB customer via Inbound Marketing
CUST-1250,2024-01-07,signup,350.0,New SMB customer via Event/Conference
CUST-1251,2024-01-18,signup,1680.0,New SMB customer via Partner Referral
CUST-1252,2024-01-13,signup,2000.0,New SMB customer via Inbound Marketing
CUST-1253,2024-01-02,signup,9500.0,New Mid-Market customer via Inbound Marketing
CUST-1254,2024-01-26,signup,1560.0,New SMB customer via Outbound Sales
CUST-1255,2024-01-13,signup,7560.0,New Mid-Market customer via Inbound Marketing
CUST-1256,2024-01-06,signup,750.0,New SMB customer via Outbound Sales
CUST-1257,2024-01-27,signup,2640.0,New Mid-Market customer via Self-Serve Promo
CUST-1258,2024-01-11,signup,750.0,New SMB customer via Self-Serve Promo
CUST-1259,2024-01-13,signup,55750.0,New Enterprise customer via Self-Serve Promo
CUST-1260,2024-01-16,signup,350.0,New SMB customer via Outbound Sales
CUST-1023,2024-01-15,churn,-650.0,Cancellation
CUST-1037,2024-01-15,downgrade,-120.0,Seat contraction to 6
CUST-1053,2024-01-15,churn,-700.0,Cancellation
CUST-1094,2024-01-15,churn,-650.0,Cancellation
CUST-1134,2024-01-15,churn,-150.0,Cancellation
CUST-1147,2024-01-15,upgrade,100.0,Seat expansion to 13
CUST-1148,2024-01-15,upgrade,1650.0,Seat expansion to 316
CUST-1193,2024-01-15,churn,-5760.0,Cancellation
CUST-1209,2024-01-15,downgrade,-240.0,Seat contraction to 10
CUST-1261,2024-02-05,signup,1700.0,New Mid-Market customer via Partner Referral
CUST-1262,2024-02-24,signup,1800.0,New SMB customer via Inbound Marketing
CUST-1263,2024-02-06,signup,200.0,New SMB customer via Outbound Sales
CUST-1264,2024-02-14,signup,700.0,New SMB customer via Partner Referral
CUST-1265,2024-02-03,signup,2520.0,New Mid-Market customer via Event/Conference
CUST-1266,2024-02-04,signup,4920.0,New Mid-Market customer via Inbound Marketing
CUST-1267,2024-02-12,signup,250.0,New SMB customer via Partner Referral
CUST-1268,2024-02-23,signup,600.0,New SMB customer via Event/Conference
CUST-1269,2024-02-27,signup,300.0,New SMB customer via Inbound Marketing
CUST-1270,2024-02-07,signup,450.0,New SMB customer via Outbound Sales
CUST-1271,2024-02-25,signup,450.0,New SMB customer via Event/Conference
CUST-1272,2024-02-25,signup,2160.0,New Mid-Market customer via Partner Referral
CUST-1273,2024-02-18,signup,4920.0,New Mid-Market customer via Partner Referral
CUST-1274,2024-02-10,signup,1800.0,New SMB customer via Inbound Marketing
CUST-1275,2024-02-04,signup,840.0,New SMB customer via Outbound Sales
CUST-1276,2024-02-16,signup,6360.0,New Mid-Market customer via Event/Conference
CUST-1277,2024-02-15,signup,350.0,New SMB customer via Outbound Sales
CUST-1278,2024-02-22,signup,7320.0,New Mid-Market customer via Outbound Sales
CUST-1021,2024-02-15,downgrade,-100.0,Seat contraction to 13
CUST-1040,2024-02-15,upgrade,250.0,Seat expansion to 63
CUST-1057,2024-02-15,upgrade,50.0,Seat expansion to 6
CUST-1092,2024-02-15,upgrade,1560.0,Seat expansion to 72
CUST-1093,2024-02-15,churn,-150.0,Cancellation
CUST-1121,2024-02-15,churn,-550.0,Cancellation
CUST-1128,2024-02-15,churn,-550.0,Cancellation
CUST-1154,2024-02-15,upgrade,150.0,Seat expansion to 16
CUST-1163,2024-02-15,upgrade,1560.0,Seat expansion to 242
CUST-1186,2024-02-15,downgrade,-120.0,Seat contraction to 12
CUST-1196,2024-02-15,upgrade,600.0,Seat expansion to 47
CUST-1235,2024-02-15,downgrade,-50.0,Seat contraction to 6
CUST-1254,2024-02-15,churn,-1560.0,Cancellation
CUST-1257,2024-02-15,churn,-2640.0,Cancellation
CUST-1279,2024-03-15,signup,600.0,New SMB customer via Inbound Marketing
CUST-1280,2024-03-03,signup,360.0,New SMB customer via Self-Serve Promo
CUST-1281,2024-03-05,signup,3120.0,New Mid-Market customer via Outbound Sales
CUST-1282,2024-03-05,signup,400.0,New SMB customer via Self-Serve Promo
CUST-1283,2024-03-07,signup,700.0,New SMB customer via Inbound Marketing
CUST-1284,2024-03-17,signup,1800.0,New SMB customer via Partner Referral
CUST-1285,2024-03-13,signup,4320.0,New Mid-Market customer via Event/Conference
CUST-1286,2024-03-13,signup,150.0,New SMB customer via Inbound Marketing
CUST-1287,2024-03-22,signup,3240.0,New Mid-Market customer via Outbound Sales
