customer_id,month,mrr,seats,plan_tier,status
CUST-1034,2023-05-01,1680.0,14,Growth,active
CUST-1035,2023-05-01,150.0,3,Starter,active
CUST-1036,2023-05-01,1100.0,22,Starter,active
CUST-1037,2023-05-01,840.0,7,Growth,active
CUST-1038,2023-05-01,200.0,4,Starter,active
CUST-1039,2023-05-01,350.0,7,Starter,active
CUST-1040,2023-05-01,2900.0,58,Starter,active
CUST-1041,2023-05-01,350.0,7,Starter,active
CUST-1042,2023-05-01,750.0,15,Starter,active
CUST-1043,2023-05-01,250.0,5,Starter,active
CUST-1044,2023-05-01,2150.0,43,Starter,active
CUST-1045,2023-05-01,750.0,15,Starter,active
CUST-1046,2023-05-01,450.0,9,Starter,active
CUST-1047,2023-05-01,1560.0,13,Growth,active
CUST-1048,2023-05-01,360.0,3,Growth,active
CUST-1049,2023-05-01,6000.0,50,Growth,active
CUST-1050,2023-05-01,150.0,3,Starter,active
CUST-1051,2023-05-01,600.0,12,Starter,active
CUST-1052,2023-05-01,200.0,4,Starter,active
CUST-1053,2023-05-01,700.0,14,Starter,active
CUST-1054,2023-05-01,2160.0,18,Growth,active
CUST-1055,2023-05-01,6240.0,52,Growth,active
CUST-1056,2023-05-01,450.0,9,Starter,active
CUST-1057,2023-05-01,250.0,5,Starter,active
CUST-1058,2023-05-01,350.0,7,Starter,active
CUST-1059,2023-05-01,7320.0,61,Growth,active
CUST-1060,2023-05-01,700.0,14,Starter,active
CUST-1061,2023-05-01,5400.0,45,Growth,active
CUST-1062,2023-05-01,500.0,10,Starter,active
CUST-1063,2023-05-01,55000.0,220,Scale,active
CUST-1064,2023-05-01,750.0,15,Starter,active
CUST-1065,2023-05-01,550.0,11,Starter,active
CUST-1066,2023-05-01,1560.0,13,Growth,active
CUST-1067,2023-05-01,850.0,17,Starter,active
CUST-1068,2023-05-01,4200.0,35,Growth,active
CUST-1069,2023-05-01,1200.0,10,Growth,active
CUST-1070,2023-05-01,1440.0,12,Growth,active
CUST-1071,2023-05-01,53250.0,213,Scale,active
CUST-1072,2023-05-01,550.0,11,Starter,active
CUST-1073,2023-05-01,4080.0,34,Growth,active
CUST-1074,2023-05-01,17750.0,71,Scale,active
CUST-1075,2023-05-01,4000.0,16,Scale,active
CUST-1076,2023-05-01,2400.0,20,Growth,active
CUST-1077,2023-05-01,700.0,14,Starter,active
CUST-1078,2023-05-01,150.0,3,Starter,active
CUST-1079,2023-05-01,7920.0,66,Growth,active
CUST-1080,2023-05-01,150.0,3,Starter,active
CUST-1081,2023-05-01,2160.0,18,Growth,active
CUST-1082,2023-05-01,36720.0,306,Growth,active
CUST-1083,2023-05-01,1850.0,37,Starter,active
CUST-1084,2023-05-01,750.0,15,Starter,active
CUST-1085,2023-05-01,5640.0,47,Growth,active
CUST-1086,2023-05-01,750.0,15,Starter,active
CUST-1087,2023-05-01,500.0,10,Starter,active
CUST-1088,2023-05-01,550.0,11,Starter,active
CUST-1089,2023-05-01,200.0,4,Starter,active
CUST-1090,2023-05-01,5880.0,49,Growth,active
CUST-1091,2023-05-01,450.0,9,Starter,active
CUST-1092,2023-05-01,7080.0,59,Growth,active
CUST-1093,2023-05-01,150.0,3,Starter,active
CUST-1094,2023-05-01,650.0,13,Starter,active
CUST-1095,2023-05-01,6960.0,58,Growth,active
CUST-1096,2023-05-01,200.0,4,Starter,active
CUST-1001,2023-06-01,4250.0,17,Scale,active
CUST-1002,2023-06-01,3700.0,74,Starter,active
CUST-1003,2023-06-01,5760.0,48,Growth,active
CUST-1004,2023-06-01,550.0,11,Starter,active
CUST-1005,2023-06-01,80500.0,322,Scale,active
CUST-1007,2023-06-01,450.0,9,Starter,active
CUST-1009,2023-06-01,8280.0,69,Growth,active
CUST-1010,2023-06-01,600.0,5,Growth,active
CUST-1011,2023-06-01,2040.0,17,Growth,active
CUST-1012,2023-06-01,1320.0,11,Growth,active
CUST-1013,2023-06-01,350.0,7,Starter,active
CUST-1014,2023-06-01,1950.0,39,Starter,active
CUST-1015,2023-06-01,1800.0,15,Growth,active
CUST-1016,2023-06-01,550.0,11,Starter,active
CUST-1017,2023-06-01,450.0,9,Starter,active
CUST-1018,2023-06-01,350.0,7,Starter,active
CUST-1019,2023-06-01,67000.0,268,Scale,active
CUST-1020,2023-06-01,7440.0,62,Growth,active
CUST-1021,2023-06-01,750.0,15,Starter,active
CUST-1022,2023-06-01,8040.0,67,Growth,active
CUST-1023,2023-06-01,650.0,13,Starter,active
CUST-1024,2023-06-01,350.0,7,Starter,active
CUST-1025,2023-06-01,300.0,6,Starter,active
CUST-1026,2023-06-01,5280.0,44,Growth,active
CUST-1027,2023-06-01,750.0,15,Starter,active
CUST-1028,2023-06-01,960.0,8,Growth,active
CUST-1029,2023-06-01,250.0,5,Starter,active
CUST-1030,2023-06-01,600.0,12,Starter,active
CUST-1031,2023-06-01,1800.0,15,Growth,active
CUST-1032,2023-06-01,720.0,6,Growth,active
CUST-1033,2023-06-01,480.0,4,Growth,active
CUST-1034,2023-06-01,1680.0,14,Growth,active
CUST-1035,2023-06-01,150.0,3,Starter,active
CUST-1036,2023-06-01,1100.0,22,Starter,active
CUST-1037,2023-06-01,840.0,7,Growth,active
CUST-1038,2023-06-01,200.0,4,Starter,active
CUST-1039,2023-06-01,350.0,7,Starter,active
CUST-1040,2023-06-01,2900.0,58,Starter,active
CUST-1041,2023-06-01,350.0,7,Starter,active
CUST-1042,2023-06-01,750.0,15,Starter,active
CUST-1043,2023-06-01,250.0,5,Starter,active
CUST-1044,2023-06-01,2150.0,43,Starter,active
CUST-1045,2023-06-01,750.0,15,Starter,active
CUST-1046,2023-06-01,450.0,9,Starter,active
CUST-1047,2023-06-01,1560.0,13,Growth,active
CUST-1048,2023-06-01,360.0,3,Growth,active
CUST-1049,2023-06-01,6000.0,50,Growth,active
CUST-1050,2023-06-01,150.0,3,Starter,active
CUST-1051,2023-06-01,600.0,12,Starter,active
CUST-1052,2023-06-01,200.0,4,Starter,active
CUST-1053,2023-06-01,700.0,14,Starter,active
CUST-1054,2023-06-01,2160.0,18,Growth,active
CUST-1055,2023-06-01,6240.0,52,Growth,active
CUST-1056,2023-06-01,450.0,9,Starter,active
CUST-1057,2023-06-01,250.0,5,Starter,active
CUST-1058,2023-06-01,350.0,7,Starter,active
CUST-1059,2023-06-01,7320.0,61,Growth,active
CUST-1060,2023-06-01,700.0,14,Starter,active
CUST-1061,2023-06-01,5400.0,45,Growth,active
CUST-1062,2023-06-01,500.0,10,Starter,active
CUST-1063,2023-06-01,55000.0,220,Scale,active
CUST-1064,2023-06-01,750.0,15,Starter,active
CUST-1065,2023-06-01,550.0,11,Starter,active
CUST-1066,2023-06-01,1560.0,13,Growth,active
CUST-1067,2023-06-01,850.0,17,Starter,active
CUST-1068,2023-06-01,4200.0,35,Growth,active
CUST-1069,2023-06-01,1200.0,10,Growth,active
CUST-1070,2023-06-01,1440.0,12,Growth,active
CUST-1071,2023-06-01,53250.0,213,Scale,active
CUST-1072,2023-06-01,550.0,11,Starter,active
CUST-1073,2023-06-01,4080.0,34,Growth,active
CUST-1074,2023-06-01,17750.0,71,Scale,active
CUST-1075,2023-06-01,4000.0,16,Scale,active
CUST-1076,2023-06-01,2400.0,20,Growth,active
CUST-1077,2023-06-01,700.0,14,Starter,active
CUST-1078,2023-06-01,150.0,3,Starter,active
CUST-1079,2023-06-01,7920.0,66,Growth,active
CUST-1080,2023-06-01,150.0,3,Starter,active
CUST-1081,2023-06-01,2160.0,18,Growth,active
CUST-1082,2023-06-01,36720.0,306,Growth,active
CUST-1083,2023-06-01,1850.0,37,Starter,active
CUST-1084,2023-06-01,900.0,18,Starter,active
CUST-1085,2023-06-01,5640.0,47,Growth,active
CUST-1086,2023-06-01,750.0,15,Starter,active
CUST-1087,2023-06-01,500.0,10,Starter,active
CUST-1088,2023-06-01,550.0,11,Starter,active
CUST-1089,2023-06-01,200.0,4,Starter,active
CUST-1090,2023-06-01,5880.0,49,Growth,active
CUST-1091,2023-06-01,450.0,9,Starter,active
CUST-1092,2023-06-01,7080.0,59,Growth,active
CUST-1093,2023-06-01,150.0,3,Starter,active
CUST-1094,2023-06-01,650.0,13,Starter,active
CUST-1095,2023-06-01,6960.0,58,Growth,active
CUST-1096,2023-06-01,200.0,4,Starter,active
CUST-1097,2023-06-01,2760.0,23,Growth,active
CUST-1098,2023-06-01,550.0,11,Starter,active
CUST-1099,2023-06-01,3240.0,27,Growth,active
CUST-1100,2023-06-01,200.0,4,Starter,active
CUST-1101,2023-06-01,300.0,6,Starter,active
CUST-1102,2023-06-01,300.0,6,Starter,active
CUST-1103,2023-06-01,500.0,10,Starter,active
CUST-1104,2023-06-01,600.0,12,Starter,active
CUST-1105,2023-06-01,840.0,7,Growth,active
CUST-1106,2023-06-01,6000.0,50,Growth,active
CUST-1107,2023-06-01,400.0,8,Starter,active
CUST-1108,2023-06-01,250.0,5,Starter,active
CUST-1109,2023-06-01,1080.0,9,Growth,active
CUST-1110,2023-06-01,1320.0,11,Growth,active
CUST-1111,2023-06-01,2250.0,45,Starter,active
CUST-1112,2023-06-01,2500.0,10,Scale,active
CUST-1113,2023-06-01,1650.0,33,Starter,active
CUST-1114,2023-06-01,58500.0,234,Scale,active
CUST-1115,2023-06-01,720.0,6,Growth,active
CUST-1116,2023-06-01,150.0,3,Starter,active
CUST-1001,2023-07-01,4250.0,17,Scale,active
CUST-1002,2023-07-01,3700.0,74,Starter,active
CUST-1003,2023-07-01,5760.0,48,Growth,active
CUST-1004,2023-07-01,550.0,11,Starter,active
CUST-1005,2023-07-01,80500.0,322,Scale,active
CUST-1007,2023-07-01,450.0,9,Starter,active
CUST-1009,2023-07-01,8280.0,69,Growth,active
CUST-1010,2023-07-01,600.0,5,Growth,active
CUST-1011,2023-07-01,2040.0,17,Growth,active
CUST-1012,2023-07-01,1320.0,11,Growth,active
CUST-1013,2023-07-01,350.0,7,Starter,active
CUST-1014,2023-07-01,2150.0,43,Starter,active
CUST-1015,2023-07-01,1800.0,15,Growth,active
CUST-1016,2023-07-01,650.0,13,Starter,active
CUST-1017,2023-07-01,450.0,9,Starter,active
CUST-1018,2023-07-01,350.0,7,Starter,active
CUST-1019,2023-07-01,82250.0,329,Scale,active
CUST-1020,2023-07-01,7440.0,62,Growth,active
CUST-1021,2023-07-01,750.0,15,Starter,active
CUST-1022,2023-07-01,8040.0,67,Growth,active
CUST-1023,2023-07-01,650.0,13,Starter,active
CUST-1024,2023-07-01,350.0,7,Starter,active
CUST-1025,2023-07-01,300.0,6,Starter,active
CUST-1026,2023-07-01,5280.0,44,Growth,active
CUST-1027,2023-07-01,750.0,15,Starter,active
CUST-1028,2023-07-01,960.0,8,Growth,active
CUST-1029,2023-07-01,250.0,5,Starter,active
CUST-1030,2023-07-01,600.0,12,Starter,active
CUST-1031,2023-07-01,1800.0,15,Growth,active
CUST-1032,2023-07-01,720.0,6,Growth,active
CUST-1033,2023-07-01,480.0,4,Growth,active
CUST-1034,2023-07-01,1680.0,14,Growth,active
CUST-1035,2023-07-01,150.0,3,Starter,active
CUST-1036,2023-07-01,1100.0,22,Starter,active
CUST-1037,2023-07-01,840.0,7,Growth,active
CUST-1039,2023-07-01,350.0,7,Starter,active
CUST-1040,2023-07-01,2900.0,58,Starter,active
CUST-1041,2023-07-01,350.0,7,Starter,active
CUST-1042,2023-07-01,900.0,18,Starter,active
CUST-1043,2023-07-01,250.0,5,Starter,active
CUST-1044,2023-07-01,2150.0,43,Starter,active
CUST-1045,2023-07-01,750.0,15,Starter,active
CUST-1046,2023-07-01,450.0,9,Starter,active
CUST-1047,2023-07-01,1800.0,15,Growth,active
CUST-1048,2023-07-01,360.0,3,Growth,active
CUST-1049,2023-07-01,6000.0,50,Growth,active
CUST-1050,2023-07-01,150.0,3,Starter,active
CUST-1051,2023-07-01,600.0,12,Starter,active
CUST-1052,2023-07-01,200.0,4,Starter,active
CUST-1053,2023-07-01,700.0,14,Starter,active
CUST-1054,2023-07-01,2160.0,18,Growth,active
CUST-1055,2023-07-01,6240.0,52,Growth,active
CUST-1056,2023-07-01,450.0,9,Starter,active
CUST-1057,2023-07-01,250.0,5,Starter,active
CUST-1058,2023-07-01,350.0,7,Starter,active
CUST-1059,2023-07-01,7320.0,61,Growth,active
CUST-1060,2023-07-01,700.0,14,Starter,active
CUST-1061,2023-07-01,5400.0,45,Growth,active
CUST-1062,2023-07-01,500.0,10,Starter,active
CUST-1063,2023-07-01,55000.0,220,Scale,active
CUST-1064,2023-07-01,750.0,15,Starter,active
CUST-1065,2023-07-01,550.0,11,Starter,active
CUST-1066,2023-07-01,1560.0,13,Growth,active
CUST-1067,2023-07-01,750.0,15,Starter,active
CUST-1068,2023-07-01,4200.0,35,Growth,active
CUST-1069,2023-07-01,1200.0,10,Growth,active
CUST-1071,2023-07-01,53250.0,213,Scale,active
CUST-1072,2023-07-01,550.0,11,Starter,active
CUST-1073,2023-07-01,4080.0,34,Growth,active
CUST-1074,2023-07-01,17750.0,71,Scale,active
CUST-1075,2023-07-01,4000.0,16,Scale,active
CUST-1076,2023-07-01,2400.0,20,Growth,active
CUST-1077,2023-07-01,700.0,14,Starter,active
CUST-1078,2023-07-01,150.0,3,Starter,active
CUST-1079,2023-07-01,7920.0,66,Growth,active
CUST-1080,2023-07-01,150.0,3,Starter,active
CUST-1081,2023-07-01,2160.0,18,Growth,active
CUST-1082,2023-07-01,36720.0,306,Growth,active
CUST-1083,2023-07-01,1850.0,37,Starter,active
CUST-1084,2023-07-01,900.0,18,Starter,active
CUST-1085,2023-07-01,5640.0,47,Growth,active
CUST-1086,2023-07-01,750.0,15,Starter,active
CUST-1087,2023-07-01,500.0,10,Starter,active
CUST-1088,2023-07-01,550.0,11,Starter,active
CUST-1089,2023-07-01,200.0,4,Starter,active
CUST-1090,2023-07-01,5880.0,49,Growth,active
CUST-1091,2023-07-01,450.0,9,Starter,active
CUST-1092,2023-07-01,7080.0,59,Growth,active
CUST-1093,2023-07-01,150.0,3,Starter,active
CUST-1094,2023-07-01,650.0,13,Starter,active
CUST-1095,2023-07-01,6960.0,58,Growth,active
CUST-1096,2023-07-01,200.0,4,Starter,active
CUST-1097,2023-07-01,2760.0,23,Growth,active
CUST-1098,2023-07-01,550.0,11,Starter,active
CUST-1099,2023-07-01,3240.0,27,Growth,active
CUST-1100,2023-07-01,200.0,4,Starter,active
CUST-1101,2023-07-01,300.0,6,Starter,active
CUST-1102,2023-07-01,300.0,6,Starter,active
CUST-1103,2023-07-01,500.0,10,Starter,active
CUST-1104,2023-07-01,600.0,12,Starter,active
CUST-1105,2023-07-01,840.0,7,Growth,active
CUST-1106,2023-07-01,6000.0,50,Growth,active
CUST-1107,2023-07-01,400.0,8,Starter,active
CUST-1108,2023-07-01,250.0,5,Starter,active
CUST-1109,2023-07-01,1080.0,9,Growth,active
CUST-1110,2023-07-01,1320.0,11,Growth,active
CUST-1111,2023-07-01,2250.0,45,Starter,active
CUST-1112,2023-07-01,2500.0,10,Scale,active
CUST-1113,2023-07-01,1650.0,33,Starter,active
CUST-1114,2023-07-01,69250.0,277,Scale,active
CUST-1115,2023-07-01,720.0,6,Growth,active
CUST-1116,2023-07-01,150.0,3,Starter,active
CUST-1117,2023-07-01,4560.0,38,Growth,active
CUST-1118,2023-07-01,300.0,6,Starter,active
CUST-1119,2023-07-01,1200.0,10,Growth,active
CUST-1120,2023-07-01,700.0,14,Starter,active
CUST-1121,2023-07-01,550.0,11,Starter,active
CUST-1122,2023-07-01,6960.0,58,Growth,active
CUST-1123,2023-07-01,1440.0,12,Growth,active
CUST-1124,2023-07-01,700.0,14,Starter,active
CUST-1125,2023-07-01,700.0,14,Starter,active
CUST-1126,2023-07-01,8760.0,73,Growth,active
CUST-1127,2023-07-01,750.0,15,Starter,active
CUST-1128,2023-07-01,550.0,11,Starter,active
CUST-1129,2023-07-01,1200.0,10,Growth,active
CUST-1130,2023-07-01,57500.0,230,Scale,active
CUST-1131,2023-07-01,400.0,8,Starter,active
CUST-1132,2023-07-01,1080.0,9,Growth,active
CUST-1133,2023-07-01,300.0,6,Starter,active
CUST-1134,2023-07-01,150.0,3,Starter,active
CUST-1135,2023-07-01,200.0,4,Starter,active
CUST-1136,2023-07-01,700.0,14,Starter,active
CUST-1001,2023-08-01,4250.0,17,Scale,active
CUST-1002,2023-08-01,3700.0,74,Starter,active
CUST-1003,2023-08-01,5760.0,48,Growth,active
CUST-1004,2023-08-01,550.0,11,Starter,active
