snapshot_date,opportunity_id,stage_at_snapshot,amount,forecast_category,expected_close_date
2024-04-01,OPP-00284,Proof of Concept,825000.0,Best Case,2024-04-24
2024-04-01,OPP-00285,Proof of Concept,18720.0,Best Case,2024-04-22
2024-04-01,OPP-00286,Qualification,9000.0,Pipeline,2024-04-23
2024-04-01,OPP-00287,Negotiation,40320.0,Commit,2024-04-13
2024-04-01,OPP-00288,Qualification,57600.0,Pipeline,2024-04-26
2024-04-01,OPP-00289,Qualification,17280.0,Pipeline,2024-04-20
2024-04-01,OPP-00290,Qualification,105120.0,Pipeline,2024-04-26
2024-04-01,OPP-00292,Discovery,10080.0,Pipeline,2024-05-05
2024-04-01,OPP-00304,Qualification,10080.0,Pipeline,2024-05-14
2024-04-01,OPP-00305,Qualification,9000.0,Pipeline,2024-05-04
2024-04-01,OPP-00306,Proof of Concept,34560.0,Best Case,2024-05-06
2024-04-01,OPP-00307,Proof of Concept,87840.0,Best Case,2024-05-20
2024-04-01,OPP-00309,Proof of Concept,76320.0,Best Case,2024-06-11
2024-04-01,OPP-00311,Qualification,7800.0,Pipeline,2024-06-03
2024-04-01,OPP-00317,Proof of Concept,37800.0,Best Case,2024-06-17
2024-04-01,OPP-00323,Proof of Concept,138000.0,Best Case,2024-06-26
2024-04-01,OPP-00324,Negotiation,969000.0,Commit,2024-06-06
2024-04-01,OPP-00326,Proof of Concept,34560.0,Best Case,2024-06-05
2024-04-01,OPP-00340,Proof of Concept,96000.0,Best Case,2024-07-27
2024-04-01,OPP-00348,Discovery,73440.0,Pipeline,2024-08-08
2024-04-01,OPP-00862,Proof of Concept,197398.0,Best Case,2024-04-24
2024-04-01,OPP-00871,Discovery,105500.0,Pipeline,2024-04-07
2024-04-01,OPP-00885,Proof of Concept,161409.0,Best Case,2024-04-11
2024-04-01,OPP-00964,Discovery,70164.0,Pipeline,2024-05-02
2024-04-01,OPP-00993,Discovery,25492.0,Pipeline,2024-04-12
2024-04-01,OPP-01016,Qualification,23117.0,Pipeline,2024-04-09
2024-04-01,OPP-01017,Discovery,214216.0,Pipeline,2024-04-24
2024-04-01,OPP-01033,Proof of Concept,147158.0,Best Case,2024-05-19
2024-04-01,OPP-01038,Proof of Concept,185668.0,Best Case,2024-06-02
2024-04-01,OPP-01059,Proof of Concept,30657.0,Best Case,2024-05-14
2024-04-01,OPP-01087,Proof of Concept,186856.0,Best Case,2024-04-09
2024-04-01,OPP-01109,Proof of Concept,94084.0,Best Case,2024-04-08
2024-04-01,OPP-01120,Proof of Concept,200276.0,Best Case,2024-04-27
2024-04-01,OPP-01133,Qualification,241466.0,Pipeline,2024-04-23
2024-04-01,OPP-01158,Qualification,207460.0,Pipeline,2024-04-10
2024-04-01,OPP-01160,Negotiation,53862.0,Commit,2024-04-23
2024-04-01,OPP-01196,Qualification,109281.0,Pipeline,2024-04-14
2024-04-01,OPP-01197,Proof of Concept,214300.0,Best Case,2024-05-03
2024-04-01,OPP-01205,Discovery,53581.0,Pipeline,2024-04-11
2024-04-01,OPP-01290,Proof of Concept,144959.0,Best Case,2024-04-10
2024-04-01,OPP-01298,Qualification,148736.0,Pipeline,2024-04-04
2024-04-01,OPP-01372,Discovery,236611.0,Pipeline,2024-04-12
2024-04-01,OPP-01435,Proof of Concept,37539.0,Best Case,2024-04-16
2024-04-01,OPP-01461,Qualification,9955.0,Pipeline,2024-04-02
2024-04-01,OPP-01490,Qualification,130792.0,Pipeline,2024-06-19
2024-04-01,OPP-01510,Qualification,249538.0,Pipeline,2024-05-16
2024-04-01,OPP-01512,Discovery,229768.0,Pipeline,2024-04-10
2024-04-01,OPP-01606,Proof of Concept,89327.0,Best Case,2024-04-29
2024-04-01,OPP-01615,Qualification,218514.0,Pipeline,2024-07-23
2024-04-01,OPP-01638,Qualification,232015.0,Pipeline,2024-04-18
2024-04-01,OPP-01639,Proof of Concept,127306.0,Best Case,2024-04-02
2024-04-01,OPP-01658,Negotiation,189786.0,Commit,2024-04-09
2024-04-01,OPP-01676,Discovery,129786.0,Pipeline,2024-04-28
2024-04-01,OPP-01684,Qualification,239821.0,Pipeline,2024-05-12
2024-04-01,OPP-01691,Discovery,28784.0,Pipeline,2024-04-23
2024-04-01,OPP-01725,Qualification,108515.0,Pipeline,2024-04-05
2024-04-01,OPP-01751,Qualification,89710.0,Pipeline,2024-04-08
2024-04-01,OPP-01752,Proof of Concept,204362.0,Best Case,2024-06-11
2024-04-01,OPP-01770,Discovery,8103.0,Pipeline,2024-04-12
2024-04-01,OPP-01772,Discovery,190180.0,Pipeline,2024-04-19
2024-04-01,OPP-01780,Discovery,78462.0,Pipeline,2024-04-03
2024-04-01,OPP-01814,Discovery,161459.0,Pipeline,2024-04-14
2024-04-01,OPP-01826,Qualification,111133.0,Pipeline,2024-04-20
2024-04-01,OPP-01853,Discovery,112607.0,Pipeline,2024-05-22
2024-04-01,OPP-01937,Discovery,193401.0,Pipeline,2024-05-02
2024-04-01,OPP-01954,Discovery,106206.0,Pipeline,2024-05-01
2024-04-01,OPP-01965,Proof of Concept,233126.0,Best Case,2024-05-22
2024-04-01,OPP-01977,Qualification,212988.0,Pipeline,2024-08-29
2024-04-01,OPP-01997,Proof of Concept,81740.0,Best Case,2024-07-10
2024-04-01,OPP-02008,Proof of Concept,192651.0,Best Case,2024-07-03
2024-04-01,OPP-02035,Negotiation,79972.0,Commit,2024-04-17
2024-04-01,OPP-02043,Discovery,123461.0,Pipeline,2024-04-24
2024-04-01,OPP-02086,Proof of Concept,108678.0,Best Case,2024-05-11
2024-04-01,OPP-02110,Discovery,204381.0,Pipeline,2024-04-14
2024-04-01,OPP-02127,Qualification,124774.0,Pipeline,2024-04-23
2024-04-01,OPP-02140,Proof of Concept,216010.0,Best Case,2024-04-13
2024-04-01,OPP-02155,Proof of Concept,101263.0,Best Case,2024-04-18
2024-04-01,OPP-02157,Qualification,119251.0,Pipeline,2024-05-09
2024-04-01,OPP-02188,Proof of Concept,167306.0,Best Case,2024-04-15
2024-04-01,OPP-02206,Proof of Concept,190035.0,Best Case,2024-04-19
2024-04-01,OPP-02216,Proof of Concept,135593.0,Best Case,2024-04-04
2024-04-01,OPP-02233,Discovery,11424.0,Pipeline,2024-04-21
2024-04-01,OPP-02241,Discovery,132766.0,Pipeline,2024-05-22
2024-04-01,OPP-02244,Proof of Concept,69787.0,Best Case,2024-04-05
2024-04-01,OPP-02405,Negotiation,3600.0,Commit,2024-04-12
2024-04-01,OPP-02407,Renewal Discussion,4200.0,Best Case,2024-04-05
2024-04-01,OPP-02408,Negotiation,87840.0,Commit,2024-04-09
2024-04-01,OPP-02410,Negotiation,8400.0,Commit,2024-04-21
2024-04-01,OPP-02412,Negotiation,64800.0,Commit,2024-04-24
2024-04-01,OPP-02414,Negotiation,711000.0,Commit,2024-04-22
2024-04-01,OPP-02416,Renewal Discussion,9000.0,Best Case,2024-04-15
2024-04-01,OPP-02418,Negotiation,6600.0,Commit,2024-04-15
2024-04-01,OPP-02420,Negotiation,18720.0,Commit,2024-04-23
2024-04-01,OPP-02422,Negotiation,9000.0,Commit,2024-04-21
2024-04-01,OPP-02424,Negotiation,50400.0,Commit,2024-04-22
2024-04-01,OPP-02426,Negotiation,14400.0,Commit,2024-04-12
2024-04-01,OPP-02428,Negotiation,639000.0,Commit,2024-04-04
2024-04-01,OPP-02430,Negotiation,48960.0,Commit,2024-04-12
2024-04-01,OPP-02432,Negotiation,252000.0,Commit,2024-04-02
2024-04-01,OPP-02434,Negotiation,48000.0,Commit,2024-04-18
2024-04-01,OPP-02436,Negotiation,28800.0,Commit,2024-04-13
2024-04-01,OPP-02438,Renewal Discussion,8400.0,Best Case,2024-05-01
2024-04-01,OPP-02440,Renewal Discussion,1800.0,Best Case,2024-05-08
2024-04-01,OPP-02442,Renewal Discussion,113760.0,Best Case,2024-05-19
2024-04-01,OPP-02443,Renewal Discussion,25920.0,Best Case,2024-05-06
2024-04-01,OPP-02444,Renewal Discussion,570240.0,Best Case,2024-05-02
2024-04-01,OPP-02446,Renewal Discussion,22200.0,Best Case,2024-05-03
2024-04-01,OPP-02448,Renewal Discussion,10800.0,Best Case,2024-05-24
2024-04-01,OPP-02450,Renewal Discussion,67680.0,Best Case,2024-05-19
2024-04-01,OPP-02452,Renewal Discussion,9000.0,Best Case,2024-05-25
2024-04-01,OPP-02454,Negotiation,6000.0,Commit,2024-05-12
2024-04-01,OPP-02456,Renewal Discussion,6600.0,Best Case,2024-05-26
2024-04-01,OPP-02458,Negotiation,76320.0,Commit,2024-05-17
2024-04-01,OPP-02460,Negotiation,5400.0,Commit,2024-05-10
2024-04-01,OPP-02462,Renewal Discussion,103680.0,Best Case,2024-05-20
2024-04-01,OPP-02464,Renewal Discussion,89280.0,Best Case,2024-05-24
2024-04-01,OPP-02466,Renewal Discussion,2400.0,Best Case,2024-05-14
2024-04-01,OPP-03009,Expansion Discussion,1800.0,Best Case,2024-04-15
2024-04-01,OPP-03010,Expansion Discussion,5760.0,Best Case,2024-04-15
2024-04-01,OPP-03011,Expansion Discussion,5760.0,Best Case,2024-04-15
2024-04-01,OPP-03012,Expansion Discussion,168000.0,Best Case,2024-04-15
2024-04-01,OPP-03013,Expansion Discussion,600.0,Best Case,2024-04-15
2024-04-01,OPP-03014,Expansion Discussion,600.0,Best Case,2024-04-15
2024-04-01,OPP-03015,Expansion Discussion,4320.0,Best Case,2024-04-15
2024-04-01,OPP-03016,Expansion Discussion,1440.0,Best Case,2024-04-15
2024-04-01,OPP-03017,Expansion Discussion,9000.0,Best Case,2024-04-15
2024-04-01,OPP-03018,Expansion Discussion,132000.0,Best Case,2024-04-15
2024-04-01,OPP-03021,Expansion Discussion,14400.0,Best Case,2024-05-15
2024-04-01,OPP-03022,Expansion Discussion,2400.0,Best Case,2024-05-15
2024-04-01,OPP-03023,Expansion Discussion,600.0,Best Case,2024-05-15
2024-04-01,OPP-03024,Expansion Discussion,600.0,Best Case,2024-05-15
2024-04-01,OPP-03026,Expansion Discussion,600.0,Best Case,2024-05-15
2024-07-01,OPP-00327,Negotiation,5760.0,Commit,2024-07-20
2024-07-01,OPP-00328,Negotiation,7200.0,Commit,2024-07-15
2024-07-01,OPP-00329,Proof of Concept,186000.0,Best Case,2024-07-07
2024-07-01,OPP-00330,Negotiation,45000.0,Commit,2024-07-15
2024-07-01,OPP-00331,Proof of Concept,4800.0,Best Case,2024-07-13
2024-07-01,OPP-00332,Proof of Concept,3600.0,Best Case,2024-07-09
2024-07-01,OPP-00333,Proof of Concept,273600.0,Best Case,2024-07-24
2024-07-01,OPP-00334,Proof of Concept,2400.0,Best Case,2024-07-15
2024-07-01,OPP-00335,Negotiation,3600.0,Commit,2024-07-08
2024-07-01,OPP-00336,Proof of Concept,6000.0,Best Case,2024-07-12
2024-07-01,OPP-00337,Negotiation,4320.0,Commit,2024-07-11
2024-07-01,OPP-00338,Proof of Concept,6000.0,Best Case,2024-07-24
2024-07-01,OPP-00339,Negotiation,44400.0,Commit,2024-07-17
2024-07-01,OPP-00340,Negotiation,96000.0,Commit,2024-07-27
2024-07-01,OPP-00341,Proof of Concept,7800.0,Best Case,2024-07-10
2024-07-01,OPP-00343,Proof of Concept,7200.0,Best Case,2024-07-26
2024-07-01,OPP-00344,Proof of Concept,12960.0,Best Case,2024-07-20
2024-07-01,OPP-00345,Proof of Concept,7200.0,Best Case,2024-07-13
2024-07-01,OPP-00346,Negotiation,20160.0,Commit,2024-07-07
2024-07-01,OPP-00348,Proof of Concept,73440.0,Best Case,2024-08-08
2024-07-01,OPP-00349,Qualification,8640.0,Pipeline,2024-08-06
2024-07-01,OPP-00350,Proof of Concept,30000.0,Best Case,2024-08-20
2024-07-01,OPP-00352,Negotiation,30240.0,Commit,2024-08-09
2024-07-01,OPP-00353,Qualification,20160.0,Pipeline,2024-08-07
2024-07-01,OPP-00355,Qualification,4200.0,Pipeline,2024-08-13
2024-07-01,OPP-00358,Qualification,434880.0,Pipeline,2024-08-12
2024-07-01,OPP-00359,Proof of Concept,93600.0,Best Case,2024-08-24
2024-07-01,OPP-00360,Discovery,156000.0,Pipeline,2024-08-02
2024-07-01,OPP-00361,Discovery,5400.0,Pipeline,2024-08-12
2024-07-01,OPP-00362,Qualification,21000.0,Pipeline,2024-08-14
2024-07-01,OPP-00365,Discovery,135000.0,Pipeline,2024-09-12
2024-07-01,OPP-00369,Qualification,102240.0,Pipeline,2024-09-19
2024-07-01,OPP-00373,Proof of Concept,23040.0,Best Case,2024-09-17
2024-07-01,OPP-00381,Discovery,43200.0,Pipeline,2024-09-17
2024-07-01,OPP-00395,Qualification,29400.0,Pipeline,2024-10-18
2024-07-01,OPP-00397,Qualification,729000.0,Pipeline,2024-10-14
2024-07-01,OPP-00403,Proof of Concept,90720.0,Best Case,2024-11-16
2024-07-01,OPP-00901,Discovery,118110.0,Pipeline,2024-10-06
2024-07-01,OPP-00931,Discovery,161747.0,Pipeline,2024-07-13
2024-07-01,OPP-00986,Qualification,10954.0,Pipeline,2024-08-11
2024-07-01,OPP-00992,Qualification,26484.0,Pipeline,2024-07-22
2024-07-01,OPP-01000,Proof of Concept,166476.0,Best Case,2024-08-02
2024-07-01,OPP-01001,Proof of Concept,192138.0,Best Case,2024-07-02
2024-07-01,OPP-01008,Qualification,153002.0,Pipeline,2024-07-21
2024-07-01,OPP-01014,Qualification,164828.0,Pipeline,2024-08-12
2024-07-01,OPP-01058,Qualification,68480.0,Pipeline,2024-07-03
2024-07-01,OPP-01090,Qualification,65263.0,Pipeline,2024-08-24
2024-07-01,OPP-01097,Qualification,58842.0,Pipeline,2024-07-15
2024-07-01,OPP-01111,Qualification,108511.0,Pipeline,2025-01-15
2024-07-01,OPP-01112,Discovery,153503.0,Pipeline,2024-08-22
2024-07-01,OPP-01141,Qualification,240720.0,Pipeline,2024-07-04
2024-07-01,OPP-01150,Qualification,136797.0,Pipeline,2024-08-06
2024-07-01,OPP-01162,Qualification,239540.0,Pipeline,2024-08-19
2024-07-01,OPP-01183,Negotiation,224944.0,Commit,2024-07-13
2024-07-01,OPP-01275,Proof of Concept,248802.0,Best Case,2024-08-06
2024-07-01,OPP-01297,Proof of Concept,149426.0,Best Case,2024-07-18
2024-07-01,OPP-01342,Proof of Concept,121560.0,Best Case,2024-07-21
2024-07-01,OPP-01349,Proof of Concept,238807.0,Best Case,2024-07-22
2024-07-01,OPP-01358,Qualification,139022.0,Pipeline,2024-09-12
2024-07-01,OPP-01374,Qualification,161497.0,Pipeline,2024-07-11
2024-07-01,OPP-01393,Qualification,148342.0,Pipeline,2024-07-15
2024-07-01,OPP-01497,Discovery,220353.0,Pipeline,2024-09-29
2024-07-01,OPP-01501,Proof of Concept,68483.0,Best Case,2024-07-28
2024-07-01,OPP-01518,Proof of Concept,153294.0,Best Case,2024-07-14
2024-07-01,OPP-01522,Qualification,193784.0,Pipeline,2024-07-23
2024-07-01,OPP-01556,Qualification,95700.0,Pipeline,2024-08-31
2024-07-01,OPP-01615,Proof of Concept,218514.0,Best Case,2024-07-23
2024-07-01,OPP-01645,Proof of Concept,43629.0,Best Case,2024-07-07
2024-07-01,OPP-01705,Proof of Concept,215031.0,Best Case,2024-07-14
2024-07-01,OPP-01728,Negotiation,148836.0,Commit,2024-07-19
2024-07-01,OPP-01746,Proof of Concept,107043.0,Best Case,2024-07-25
2024-07-01,OPP-01766,Discovery,207864.0,Pipeline,2024-07-28
2024-07-01,OPP-01773,Qualification,79824.0,Pipeline,2024-07-26
2024-07-01,OPP-01866,Negotiation,204874.0,Commit,2024-07-02
2024-07-01,OPP-01886,Qualification,127707.0,Pipeline,2024-09-28
2024-07-01,OPP-01943,Proof of Concept,176560.0,Best Case,2024-07-15
2024-07-01,OPP-01967,Qualification,157403.0,Pipeline,2024-07-07
2024-07-01,OPP-01977,Proof of Concept,212988.0,Best Case,2024-08-29
2024-07-01,OPP-01997,Proof of Concept,81740.0,Best Case,2024-07-10
2024-07-01,OPP-02008,Proof of Concept,192651.0,Best Case,2024-07-03
2024-07-01,OPP-02028,Proof of Concept,76870.0,Best Case,2024-07-07
2024-07-01,OPP-02074,Qualification,233841.0,Pipeline,2024-07-14
2024-07-01,OPP-02079,Discovery,193345.0,Pipeline,2024-07-12
2024-07-01,OPP-02083,Qualification,123608.0,Pipeline,2024-08-22
2024-07-01,OPP-02108,Qualification,146208.0,Pipeline,2024-09-20
2024-07-01,OPP-02109,Proof of Concept,230237.0,Best Case,2024-07-07
2024-07-01,OPP-02118,Qualification,25477.0,Pipeline,2024-07-31
2024-07-01,OPP-02122,Proof of Concept,11841.0,Best Case,2024-07-18
2024-07-01,OPP-02172,Qualification,56605.0,Pipeline,2024-08-02
2024-07-01,OPP-02185,Qualification,92252.0,Pipeline,2024-07-12
2024-07-01,OPP-02271,Qualification,159283.0,Pipeline,2024-07-08
2024-07-01,OPP-02286,Qualification,115192.0,Pipeline,2024-07-25
2024-07-01,OPP-02287,Discovery,93816.0,Pipeline,2024-07-02
2024-07-01,OPP-02288,Proof of Concept,178944.0,Best Case,2024-07-06
2024-07-01,OPP-02305,Proof of Concept,214840.0,Best Case,2024-08-06
2024-07-01,OPP-02503,Negotiation,54720.0,Commit,2024-07-22
2024-07-01,OPP-02505,Negotiation,3600.0,Commit,2024-07-26
2024-07-01,OPP-02507,Negotiation,14400.0,Commit,2024-07-19
2024-07-01,OPP-02509,Renewal Discussion,8400.0,Best Case,2024-07-20
2024-07-01,OPP-02511,Negotiation,83520.0,Commit,2024-07-21
2024-07-01,OPP-02513,Negotiation,8400.0,Commit,2024-07-03
2024-07-01,OPP-02515,Negotiation,8400.0,Commit,2024-07-10
2024-07-01,OPP-02517,Negotiation,90720.0,Commit,2024-07-10
2024-07-01,OPP-02519,Negotiation,7200.0,Commit,2024-07-21
2024-07-01,OPP-02521,Renewal Discussion,14400.0,Best Case,2024-07-22
2024-07-01,OPP-02523,Negotiation,690000.0,Commit,2024-07-19
2024-07-01,OPP-02525,Negotiation,14400.0,Commit,2024-07-20
2024-07-01,OPP-02526,Negotiation,3600.0,Commit,2024-07-14
2024-07-01,OPP-02532,Negotiation,40320.0,Commit,2024-08-09
2024-07-01,OPP-02534,Negotiation,6000.0,Commit,2024-08-07
2024-07-01,OPP-02536,Renewal Discussion,8400.0,Best Case,2024-08-05
2024-07-01,OPP-02538,Renewal Discussion,6600.0,Best Case,2024-08-23
2024-07-01,OPP-02540,Renewal Discussion,20160.0,Best Case,2024-08-27
2024-07-01,OPP-02542,Negotiation,7800.0,Commit,2024-08-09
2024-07-01,OPP-02544,Renewal Discussion,8400.0,Best Case,2024-08-10
